"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
溪湖鎮,光平里,357,256378,10169,10129,174618,26383,3531,3378,237,25477,0,2211,12,232,137116,218876,263
,平和里,233,190147,9122,14641,119352,13151,5545,128,118,25105,0,2918,0,66,96075,166871,24
,太平里,536,445311,9177,13691,327190,20065,9028,360,394,61195,74,3029,10,1098,260672,378790,657
,光華里,146,132040,2979,4893,65014,8429,3372,457,227,46132,13,345,94,86,51317,118343,470
,東寮里,985,767522,18170,33572,520804,50754,13104,1290,1106,123371,63,3889,0,1401,402808,649526,352
,西寮里,616,481312,15069,4821,316103,16901,4637,350,376,119309,23,2683,0,1040,239151,404360,208
,大突里,925,830949,28618,8681,551865,27896,8171,775,881,197130,435,5925,0,573,440422,719506,69
,北勢里,316,203463,2714,391,166802,7040,2078,49,200,22334,30,1090,0,737,126982,163644,30
,汴頭里,753,560688,18590,8837,445385,22379,4269,1449,421,52366,592,5552,56,791,347807,463107,288
,大竹里,721,552545,12368,18173,397455,38231,12950,2772,584,65782,31,3541,2,658,314211,469302,673
,湖西里,653,481849,8899,16428,359413,23036,7799,1933,292,56748,359,5711,0,1232,280358,402795,252
,田中里,172,107915,9631,770,83700,3834,1638,687,56,6658,0,691,0,251,63800,88015,29
,河東里,402,234051,12495,2644,177053,10239,2482,1237,316,25223,590,1078,0,693,133533,190531,80
,中山里,560,370638,6898,6655,300537,12368,5480,112,362,34685,989,2015,0,537,233490,303591,169
,中竹里,212,128437,5109,584,106230,3403,1079,29,107,10723,0,1066,0,108,79076,101282,20
,東溪里,324,220480,10712,2496,154288,7060,4524,569,145,38700,0,1955,23,8,117661,183853,321
,西溪里,522,362072,14742,3776,257200,17175,7360,126,182,58652,19,2099,0,742,195924,300796,125
,湖東里,1275,974530,33114,31943,750810,42609,10877,3284,727,90807,953,8646,0,760,595525,819244,352
,頂庄里,160,100118,3975,1523,73885,3650,1890,30,172,14565,0,386,0,42,54459,80692,26
,忠覺里,351,238629,5501,3185,194711,10393,2853,54,261,19167,89,1982,154,279,150619,194411,404
,湳底里,132,123520,4253,804,76264,5268,594,66,86,35640,0,535,0,10,59429,106685,2
,大庭里,343,227172,6558,1934,190382,11722,1796,419,161,12421,31,1090,77,582,147807,184521,484
,媽厝里,248,161611,6552,2650,125814,7690,863,730,37,15986,25,1215,0,47,98458,134255,6
,西勢里,527,348990,10780,2099,276313,11849,6814,1423,929,34203,0,4458,0,122,210237,282914,20
,番婆里,392,253978,10712,4282,186598,11568,3693,347,323,32641,21,3767,0,26,141992,209372,89
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,11861,8754345,276906,199604,6397785,413093,126425,22051,8701,1225020,4335,67876,427,12121,4978927,7335279,5411
田中鎮,香山里,175,110088,2451,1709,96878,2940,767,87,58,3947,72,866,0,315,75574,88784,50
,碧峰里,204,134981,3419,759,111360,7390,1606,12,86,7428,72,1197,0,1652,86200,109821,0
,東源里,173,113589,2164,1879,97676,4322,662,117,194,5147,0,1412,0,16,77055,92973,30
,復興里,400,263014,11463,3404,224821,10108,2034,147,242,9112,22,1581,0,80,175735,213928,4
,平和里,356,222530,7143,4402,180835,9141,1478,121,170,17137,67,1708,0,328,137515,179210,8
,頂潭里,355,258424,4665,4055,213883,8747,1634,174,129,21986,0,1916,0,1235,168112,212653,52
,中潭里,464,318786,8151,1495,270503,11240,1812,543,590,21153,226,2992,0,82,214105,262388,26
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,龍潭里,154,94125,644,907,80416,5002,884,43,133,5420,0,676,0,0,62653,76361,2
,北路里,972,761202,16158,18516,617532,39447,6811,2078,642,51806,583,6981,0,647,498110,641780,307
,西路里,674,514763,8888,16760,407780,29969,8357,255,397,37694,0,3650,0,1013,328950,435933,388
,東路里,302,227742,6554,5896,176786,14433,5684,766,176,15563,0,1562,0,322,143582,194537,92
,南路里,339,238498,5261,4025,168677,21724,4362,191,63,29282,22,3732,0,1158,132266,202086,6
,中路里,635,507284,11965,14483,387851,47024,5060,1002,466,32436,13,6353,67,565,316091,435456,380
,新庄里,629,483415,4863,1930,415634,25034,916,301,1821,28736,98,4082,0,0,332994,400774,199
,三安里,363,222397,5466,3983,178780,7916,1682,277,139,22968,0,853,0,332,136130,179747,2
,大崙里,274,181774,4952,1247,155657,7445,854,20,181,9875,0,1319,0,223,121926,148043,115
,沙崙里,463,353412,9358,3423,236808,11597,3361,1400,116,79414,4,7461,0,470,180862,297466,252
,新民里,1240,879276,14689,13831,740875,39859,2729,341,835,58212,296,5551,0,2059,580593,718993,266
,梅州里,306,197072,7466,5193,157104,7640,1812,162,142,15693,0,1604,0,255,121164,161132,20
,三民里,377,243666,2152,4247,207201,8488,1921,373,197,17443,315,1132,0,199,160091,196556,39
,三光里,194,129347,10824,1669,100653,5010,1422,49,232,8063,0,1425,0,0,76323,105017,13
,大社里,214,136324,8226,845,104794,4947,1567,80,112,15061,0,658,0,34,79808,111338,10
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,9263,6591708,156922,114656,5332505,329423,57416,8539,7120,513576,1788,58711,67,10984,4205838,5464979,2260
二林鎮,東和里,546,450149,16776,28196,276309,45730,7244,289,598,68974,26,3427,0,2580,224584,398441,46
,南光里,914,743963,24501,23317,551155,58315,9375,376,640,67022,3,5538,0,3720,444397,637206,84
,西平里,327,228152,8702,3470,177326,14653,3696,531,267,15592,24,1743,0,2148,140967,191792,72
,北平里,750,563793,9233,9276,432547,36499,5313,613,510,59384,0,6714,0,3702,345757,477013,95
,中西里,313,216922,5713,2116,165613,10627,1457,55,254,27639,0,1800,0,1648,128758,180069,48
,廣興里,280,171638,5244,1277,138192,6369,417,540,115,17102,0,2351,0,30,106531,139976,1
,香田里,215,154766,6111,384,130279,5396,531,237,189,10199,0,1438,0,2,104163,128650,105
,外竹里,181,131893,9217,2958,100573,4798,119,45,4989,8421,0,774,0,0,79197,110517,0
,興華里,221,150354,5340,754,129457,5204,397,1,105,8037,0,1016,0,43,101913,122810,29
,東興里,348,258118,10347,2163,200743,10408,903,121,257,31475,0,1701,0,1,156105,213480,65
,後厝里,896,674815,18112,9531,543417,38361,7562,928,847,47738,23,4941,6,3350,433998,565396,345
,豐田里,550,446172,5376,10187,331239,18045,3845,96,423,68199,767,6834,0,1162,264396,379329,144
,頂厝里,253,161055,4918,3623,133253,5596,821,52,172,10782,0,1650,0,188,103141,130943,4
,趙甲里,256,188936,7248,1408,146900,6004,1558,144,122,22401,0,2762,0,391,116947,158983,7
,振興里,205,133474,5866,4896,109797,5842,545,172,65,5429,0,600,0,261,85259,108935,0
,萬興里,158,115178,6097,489,93937,5821,945,54,280,6551,0,659,0,345,74816,96058,17
,永興里,316,228513,2498,2713,178426,8674,1393,288,325,32342,0,1459,0,395,141316,191403,76
,西庄里,250,166635,8902,255,118264,6920,2129,364,178,28068,3,1235,0,318,88772,137143,6
,梅芳里,178,120105,7965,1012,93604,3433,1222,765,130,11080,0,713,8,172,73335,99836,372
,華崙里,812,558870,18105,6747,418341,22902,3412,69,623,81150,25,6870,0,627,322907,463436,162
,東勢里,176,117563,5527,2769,91681,5500,935,55,46,8548,0,2028,0,474,70072,95954,2
,大永里,158,98791,3074,196,83017,4011,381,841,47,6692,0,522,0,11,64354,80129,0
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,萬合里,204,143468,5465,2487,113858,5878,1449,242,164,12580,0,1335,0,11,89778,119388,9
,原斗里,289,186119,7038,3299,152012,12069,2321,180,291,6486,0,1845,0,578,118839,152946,172
,西斗里,221,143770,2633,1718,119423,4760,858,106,165,13307,43,726,0,30,93085,117432,11
,東華里,191,140361,7777,848,110623,5969,508,126,269,13417,0,682,0,141,86998,116736,162
,復豐里,128,87659,3867,396,71730,5597,1581,0,73,3502,0,799,70,45,55323,71252,311
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,9336,6781233,221653,126486,5211714,363382,60915,7288,12143,692116,914,62162,84,22374,4115708,5685255,2346
線西鄉,線西村,683,465315,11352,8377,344243,14957,2696,343,206,76526,0,4481,105,2028,260449,381521,397
,頂庄村,355,192407,6156,1501,155302,7056,2514,167,248,17522,246,1632,0,63,113678,150784,13
,寓埔村,682,452072,27698,6119,317013,15912,6098,151,295,73587,0,2209,0,2989,234386,369444,16
,󻕯仔村,378,252785,11920,1865,177046,10380,966,59,189,48359,22,1236,0,743,131859,207598,6
,溝內村,328,196935,18682,1289,144178,5987,2107,198,81,22840,59,1508,0,5,104799,157556,12
,下犁村,570,347823,21017,4161,248624,12904,4586,287,228,54208,143,1399,0,267,181994,281193,32
,頂犁村,767,498343,22254,4411,363301,18932,7938,836,306,77212,0,2892,0,260,270418,405460,13
,德興村,445,287880,19806,902,205844,7365,3832,142,307,47827,0,1641,0,216,151703,233739,7
,其　他,1,3929,0,0,3899,7,0,0,0,0,0,22,0,0,3791,3821,0
,合　計,4209,2697489,138885,28626,1959451,93499,30738,2184,1860,418081,470,17020,105,6569,1453076,2191114,496
伸港鄉,新港村,1653,1125505,39384,28125,857505,55276,15592,655,1314,116410,12,10422,224,585,658502,926630,931
,什股村,519,294089,10576,1417,227094,10878,3303,1051,153,37258,986,1132,116,126,165644,232523,346
,海尾村,545,327844,12970,2815,265100,11282,2685,0,298,29672,38,2879,0,107,195908,258653,26
,全興村,409,256795,13595,1475,182956,6331,1700,34,116,49334,0,1136,0,118,133682,207521,42
,溪底村,558,351578,13300,6685,260280,12013,7346,222,156,48981,0,1913,0,682,188612,279910,85
,定興村,834,473496,23896,4284,374425,14538,5558,92,558,45428,38,3892,0,786,270272,369343,32
,泉州村,641,373209,11623,1931,306281,11881,2758,3,200,35527,0,2573,0,432,227699,294627,36
,泉厝村,394,247031,12350,2390,192745,11258,1722,7,288,24847,0,1374,0,49,145014,199300,126
,曾家村,473,268218,7492,2732,218491,11372,1954,190,369,24227,0,1001,241,149,161818,211545,793
,蚵寮村,271,172802,8267,3192,127635,4589,8112,0,298,19652,45,901,0,110,95564,140731,1
,埤墘村,418,245573,7650,1305,207772,5459,1631,549,266,18007,0,2883,0,49,156335,194135,83
,七嘉村,896,572968,22146,3958,466356,14952,4145,605,439,55532,0,4766,0,68,347944,454556,40
,汴頭村,694,450670,22066,4491,314855,13145,5942,390,717,82778,0,5722,0,563,230272,366087,81
,大同村,580,400494,16033,3929,304082,14208,4267,508,214,54870,11,2304,0,68,228512,324924,31
,其　他,1,230,0,0,230,0,0,0,0,0,0,0,0,0,122,122,0
,合　計,8886,5560501,221347,68730,4305807,197181,66715,4306,5387,642523,1129,42899,581,3895,3205899,4460606,2653
福興鄉,福興村,1073,686043,27889,12625,521483,23296,13637,812,702,79566,0,4113,0,1919,392850,557410,158
,外中村,352,230908,15998,468,177251,8359,2063,92,298,25516,0,808,0,56,130953,184611,115
,元中村,361,270154,5464,3904,198273,12226,2796,222,217,43790,756,2417,0,91,150421,222302,41
,大崙村,359,266646,12614,1761,164688,14723,5255,20,375,60375,0,6230,0,604,121376,223335,44
,外埔村,442,300699,18441,1177,237062,11552,2991,529,284,25203,0,3295,0,165,179478,243115,66
,三汴村,459,323937,15183,4214,238052,21445,3716,313,306,37852,0,1952,0,905,181456,267342,45
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,萬豐村,290,233201,4808,376,155449,8761,2870,111,174,59453,0,1185,0,14,117542,195293,59
,番社村,389,271966,15813,1757,197640,11199,4055,133,186,34662,0,3933,0,2590,146891,221218,29
,社尾村,368,232343,12270,3259,176497,11012,1402,332,107,24470,83,2877,0,31,131434,187279,8
,番婆村,659,535842,20117,2370,317459,13489,6395,207,223,172453,0,2244,0,884,237522,455905,180
,橋頭村,864,734775,21302,5137,429576,29369,12874,298,509,158921,699,11784,0,64305,327342,632541,132
,秀厝村,596,350204,14128,2285,253386,11921,5941,609,216,57708,0,3622,2,385,187404,284220,187
,鎮平村,282,180954,13644,725,130239,5486,2101,0,38,26030,0,2077,0,613,96405,147120,5
,三和村,242,193168,14924,377,120133,7091,2600,63,153,46610,0,1164,0,53,91761,164795,8
,麥厝村,566,344086,15568,2113,265767,13449,7901,177,216,36333,0,2441,0,120,200865,279185,78
,廈粘村,539,324025,6359,2265,266121,13571,3526,269,219,27374,0,3385,0,937,202171,260076,24
,頂粘村,637,545192,25433,1590,303619,12897,4019,75,193,195297,0,1792,0,276,229069,470642,12
,福寶村,316,219374,21356,1832,142770,7524,2301,187,413,41805,0,1087,0,100,105045,181650,83
,二港村,362,233938,13524,3813,170117,13062,1151,173,303,30428,0,1181,0,186,129234,193055,5
,福南村,772,542689,20428,2169,367816,13484,6769,403,816,127057,0,3108,0,640,271769,446643,22
,西勢村,569,372453,10628,1896,284067,16460,4068,166,352,52779,0,2008,0,27,214941,303326,138
,同安村,667,412206,31604,4250,311222,13417,4112,452,345,43064,0,3702,0,38,228075,329059,82
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,11164,7804804,357496,60365,5428687,293792,102542,5644,6645,1406746,1538,66406,2,74940,4074005,6450120,1519
秀水鄉,秀水村,504,344104,21849,644,253644,15650,3919,309,206,43325,0,4139,0,419,189837,280298,89
,安溪村,656,526696,24328,3340,342788,20424,10899,583,306,120439,0,2004,0,1587,258789,442884,412
,莊雅村,863,626098,15690,4028,468583,23204,6119,148,522,103509,358,2728,0,1209,357534,515049,115
,陜西村,410,261463,9280,905,211114,9092,1441,32,276,23123,0,4074,1971,154,157809,208605,3045
,金興村,486,321854,13790,1295,244414,17709,3625,507,355,38906,0,1142,0,111,185006,262793,27
,安東村,1255,915115,39511,12531,629210,63633,16450,2039,565,139486,17,10464,0,1209,479334,765239,432
,鶴鳴村,978,688811,49670,5430,473991,28153,15991,410,581,104864,1613,5537,146,2424,351671,566996,463
,馬興村,703,497669,36164,3899,332067,17606,8330,543,797,91951,1609,4081,84,538,243554,409156,426
,義興村,368,240346,21850,2151,154688,8599,5487,350,240,43825,2,1375,0,1778,110351,196009,61
,福安村,1432,1046265,44638,18086,795795,41473,7678,762,1056,121794,217,13665,0,1101,615084,865554,475
,埔崙村,635,461231,26106,7458,347647,22039,8175,299,510,44659,353,2904,0,1083,266674,380259,107
,曾厝村,507,321182,13478,6293,249391,13789,3142,339,332,32673,27,1317,0,401,186356,258454,117
,金陵村,513,358590,17559,1709,281781,9031,3610,341,316,42894,42,1195,0,112,212137,288946,81
,下崙村,624,427097,29523,2619,296746,16716,4610,203,336,73049,0,3032,7,256,219011,349362,306
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,9934,7036521,363436,70388,5081857,307118,99476,6865,6398,1024498,4238,57658,2207,12381,3833146,5789604,6157
花壇鄉,花壇村,1031,742560,24644,20627,540960,38913,18806,3391,514,86343,87,5553,0,2721,418662,620094,286
,金墩村,563,372043,15207,2185,265959,17164,4128,400,419,64243,36,2022,0,280,199954,306038,253
,中庄村,720,495771,17994,3322,339342,16070,6311,367,283,99814,0,10829,0,1440,251224,407654,70
,劉厝村,281,186359,6863,2021,146419,6293,2789,714,674,14404,0,5471,0,709,113330,153269,155
,崙雅村,424,274038,7949,4423,204836,17049,6440,300,152,31717,0,957,0,213,155316,224517,2
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,南口村,535,391530,15505,4231,302991,17349,4118,405,426,42636,0,3413,0,456,235260,323799,99
,岩竹村,354,219462,18832,1896,155726,10092,3393,382,459,27099,191,1255,0,136,114918,180577,160
,橋頭村,1032,640492,21058,14027,490693,21509,11225,275,670,74752,37,4831,0,1415,363768,513567,78
,灣雅村,255,161436,7592,2151,116064,6625,3414,130,64,21536,0,741,80,3039,86244,131536,425
,灣東村,220,154465,6986,1643,109235,7892,1196,69,258,25846,0,756,0,583,82693,127923,4
,三春村,510,294927,9839,5117,245282,8958,1237,448,304,21143,0,1906,0,692,182968,233707,8
,永春村,539,346784,9972,3069,280021,8954,4424,192,252,35759,193,1800,0,2149,208326,275674,5
,長春村,444,300333,8346,899,241841,9165,3557,0,716,32302,17,3235,0,257,185235,243728,143
,中口村,209,152824,4406,3621,106947,6236,858,619,61,29221,25,829,0,0,82053,127929,15
,北口村,594,385013,17965,3412,289415,13536,6686,108,211,48536,18,4534,0,592,217332,312930,163
,長沙村,1697,1237457,55953,17951,905014,57957,18363,2125,961,166909,1205,8966,0,2053,700474,1033215,632
,文德村,931,594697,14040,7542,471981,18051,7729,1870,488,67246,10,4011,0,1726,353210,478345,82
,白沙村,1462,1640202,64472,37051,1019837,45411,29133,3892,799,381642,154,51877,353,5581,833085,1457225,2339
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,11801,8590391,327622,135187,6232564,327226,133807,15689,7712,1271147,1974,112989,432,24042,4784052,7151729,4919
芬園鄉,社口村,657,440538,11370,8521,361190,21718,6491,299,220,23438,17,5231,0,2044,281268,360961,234
,竹林村,445,289641,9063,3734,233958,10390,5160,255,201,23797,0,2521,0,562,178920,234602,49
,楓坑村,133,74115,2868,804,56562,2977,203,30,459,8704,0,1231,0,276,41212,58764,16
,芬園村,245,145007,5406,976,117304,7186,880,39,203,12092,0,647,0,275,88366,116070,5
,大埔村,325,187851,8311,5450,151951,9532,1046,82,138,10180,0,938,0,223,113366,149266,67
,舊社村,433,271600,13496,1643,219547,9779,1871,560,148,21366,0,2744,0,445,165218,217271,72
,進芬村,251,171451,4987,1218,136999,6711,1860,408,108,16838,397,1812,0,113,104053,138504,79
,茄荖村,620,379827,17760,7983,306106,15860,3740,624,278,24787,250,2097,0,342,232413,306134,62
,嘉興村,414,265656,11453,5307,206240,9511,3070,1009,106,26737,42,1701,0,478,155683,215099,9
,縣庄村,300,200303,8198,3244,167231,7463,1576,143,302,10002,542,1559,0,43,129236,162309,7
,圳墘村,136,101251,5657,1714,69115,4827,361,633,46,18381,0,372,0,144,52483,84618,0
,溪頭村,424,262947,3764,1471,230432,8856,1658,45,151,14757,0,1728,0,86,175589,208842,26
,同安村,232,143568,4647,289,121497,6115,1034,51,114,8698,0,1123,0,0,91719,113789,13
,中崙村,225,145900,4156,1849,119877,4119,2705,837,114,11172,0,1072,0,0,91515,117538,8
,大竹村,214,133716,2702,907,109511,4901,1196,0,143,12566,0,1443,0,347,82193,106398,3
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,5054,3213372,113838,45110,2607520,129946,32850,5015,2730,243516,1248,26219,0,5379,1983234,2590166,648
大村鄉,大村村,904,655503,19911,15170,502627,22935,6760,1565,443,61439,94,22716,0,1844,384569,537445,258
,田洋村,271,174405,4508,682,150653,4836,1119,50,64,10881,0,1537,0,75,113710,137462,19
,南勢村,329,200626,7159,4274,158724,5536,1412,12,140,21684,0,1462,0,223,117925,159827,2
,貢旗村,363,254528,4914,4384,176379,7758,4478,161,133,48920,0,6960,0,440,130708,208857,8
,茄苳村,378,266955,17122,2738,192634,11463,1557,7,210,38280,0,2944,0,0,144470,218791,38
,加錫村,346,220026,9880,2920,168629,7254,2197,79,193,26986,0,1355,0,532,124707,176103,9
,大崙村,340,207643,7715,642,166818,7383,3670,364,138,19908,0,968,0,35,122493,163318,70
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,新興村,281,172057,8558,731,134963,5582,1462,381,226,15590,0,4439,0,125,99527,136621,3
,擺塘村,652,455857,18460,8191,353134,19181,3563,373,498,47363,0,4452,0,642,272400,375524,113
,村上村,424,288291,15850,5774,218357,13422,3385,525,319,28562,0,1672,0,424,167956,237890,129
,美港村,919,5612482,145724,6231,796156,29441,49826,451,398,4569263,208,11406,0,3377,686036,5502362,46
,過溝村,743,570955,14591,12381,452894,17044,4737,2601,524,61436,85,2987,0,1677,357701,476095,389
,大橋村,496,337829,13346,3109,257695,9284,8342,69,390,40969,0,4464,0,162,194992,275126,149
,黃厝村,576,402141,12943,1022,329819,12409,2277,2641,228,37258,0,2527,0,1016,251695,326023,61
,福興村,569,342501,7520,8801,272737,10128,2954,226,911,34284,0,2601,2,2335,199534,271854,296
,平和村,676,472671,19427,3325,363845,14460,6971,956,229,56854,74,5839,0,692,276784,387963,179
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,8267,10634470,327629,80374,4696064,198117,104710,10459,5045,5119677,460,78331,2,13599,3645207,9591261,1767
埔鹽鄉,埔鹽村,479,346815,13915,4828,252285,20761,5091,340,319,42215,0,6833,0,228,192208,286738,146
,埔南村,478,308192,15295,1325,221456,19834,6286,32,172,42004,26,1515,0,249,164788,251524,72
,󿾴子村,357,243502,17784,2398,178937,8933,3799,276,196,30074,44,903,27,132,136193,200759,222
,出水村,257,175041,6955,2276,132797,7301,1742,244,188,21076,24,2438,0,0,99809,142052,0
,南港村,430,294760,24508,1734,202071,12064,5125,748,205,45707,200,1056,0,1341,147499,240187,5
,打廉村,226,157400,18132,939,109695,6147,2018,22,60,19662,0,426,0,299,81920,129626,24
,豐澤村,341,208916,11216,5972,168249,7997,979,408,270,10823,0,1537,0,1464,125940,166607,3
,崑崙村,309,242288,6866,4710,172834,15217,3423,418,265,35798,0,1162,0,1595,136327,205781,91
,角樹村,191,115667,5286,558,92565,2370,1414,0,139,12353,0,774,23,186,69013,92115,227
,瓦󼍕村,323,212149,7730,2393,162898,11201,2698,12,92,23039,0,1924,126,37,123609,172735,821
,好修村,508,337249,15220,2958,258706,20952,4756,1678,190,31393,3,1383,0,11,195665,274208,84
,西湖村,479,324415,8712,3952,263145,13339,1193,550,293,26727,17,5209,54,1223,204048,265317,455
,大有村,325,199158,12326,1622,154036,10603,2107,348,157,16084,0,1787,0,88,115260,160382,14
,新興村,118,92203,4834,105,65151,4414,452,55,45,16490,0,625,0,31,49790,76842,8
,永平村,290,186049,13675,3492,128185,7862,2610,260,158,28919,10,744,0,136,94031,151895,0
,永樂村,218,170861,19206,4222,103049,7530,3844,0,174,31844,0,991,0,1,77605,145417,38
