"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,石埤村,258,149365,6484,1040,118083,5211,991,47,161,16492,0,807,0,48,89390,120672,16
,天盛村,182,132068,11016,1241,87415,3911,4500,64,133,21891,0,1113,0,783,65269,109921,12
,太平村,326,190643,11593,1457,137521,9855,1798,187,144,25818,0,1950,0,320,100798,153920,67
,新水村,351,233307,9771,3925,176616,9955,2418,50,118,25281,1399,2763,0,1011,137022,193763,288
,三省村,299,193878,6436,4098,144194,9762,3471,164,118,19370,1238,4919,0,108,110052,159737,5
,南新村,307,200994,8908,2426,137118,10562,2821,53,72,36351,195,1501,0,986,99377,163253,1
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,7052,4714920,255868,57673,3467006,225781,63537,5956,3669,579411,3154,42358,230,10278,2615611,3863450,2599
埔心鄉,東門村,998,707435,34610,12443,532121,27923,8780,552,511,84939,0,4799,0,756,405648,580962,121
,埔心村,338,225629,9420,2197,166513,7040,2645,893,271,36063,0,586,0,0,123351,182467,41
,義民村,426,312864,8177,6920,251274,12655,4620,1361,236,23145,150,4117,0,209,197661,259251,315
,油車村,338,211430,5529,1155,162947,8252,2295,0,97,27414,8,3731,0,0,121949,170432,115
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,瓦北村,473,353905,15916,2176,234218,14064,10502,118,275,73634,0,1531,0,1472,175238,294926,29
,瓦中村,544,356077,9769,8141,283225,14046,5379,195,308,31824,0,2912,0,279,216362,289214,43
,瓦南村,401,251281,17703,2396,192034,8676,3567,554,195,21422,184,1421,0,3130,141356,200603,7
,太平村,555,344451,16629,3556,268345,12601,4703,358,306,35366,0,2196,5,385,200062,276169,299
,經口村,656,579416,17775,4310,360396,13999,6382,1965,442,169068,91,4894,0,96,277495,496515,4
,大華村,125,90490,2722,1199,59431,3712,3825,416,27,18750,120,256,0,32,44375,75434,58
,仁里村,269,177559,7597,1781,144481,5474,2015,208,739,13509,0,1245,0,510,110516,143604,0
,舊館村,429,313043,15458,5907,213320,12253,5271,459,171,57890,0,2307,0,6,163327,263051,54
,南館村,282,167874,1897,1496,139191,9082,2040,36,132,12241,0,1373,0,386,105166,133849,21
,新館村,196,124084,3493,1082,103858,3089,208,0,63,11340,0,952,0,0,79622,99848,23
,羅厝村,296,170700,7709,4267,136205,5518,1717,68,88,13090,0,1204,0,835,100366,134861,14
,芎蕉村,480,298840,8554,1953,246713,11027,1709,3153,150,23135,0,2438,0,10,186485,238612,40
,梧鳳村,202,125417,6190,2646,103309,3027,1000,70,110,8192,0,790,0,84,76996,99105,1
,二重村,320,212004,12642,1961,167158,5733,2040,36,170,21515,0,661,0,88,125965,170811,14
,埤霞村,213,132996,2776,774,108667,4847,521,0,253,13678,0,1469,0,11,83930,108259,13
,埤腳村,221,138068,7953,4569,100592,2903,1482,36,179,19437,0,634,0,283,73382,110857,87
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,7762,5293562,212517,70929,3973997,185921,70698,10478,4723,715654,554,39516,5,8571,3009254,4328830,1299
永靖鄉,永東村,204,143754,3928,4581,112364,8977,1632,165,106,9610,0,925,0,1467,90521,121911,43
,永西村,479,368630,6246,12742,275805,27556,6597,821,210,29993,0,7319,0,1342,221203,314400,142
,永北村,582,399543,10266,3621,324045,14760,3403,377,980,36862,5,4347,14,863,253051,328549,211
,永南村,526,336783,7301,5999,267114,18727,2276,418,440,28919,260,5001,0,328,205609,275278,150
,港西村,450,290195,4883,4942,229920,12096,4358,32,313,31534,0,1888,0,228,175639,235914,56
,五福村,332,219096,8402,4212,182228,7445,1530,60,126,13761,0,1243,0,88,141814,178682,39
,湳港村,284,191012,23655,3796,136686,8295,818,176,116,16294,22,1117,0,37,102729,157055,21
,新莊村,241,166580,4050,1226,134756,4730,347,66,142,19726,0,1231,0,306,104597,136784,0
,浮圳村,294,172777,2682,1051,154357,4847,478,62,187,7693,0,1250,0,169,116810,135230,6
,瑚璉村,724,477959,11202,10895,379908,20831,4944,1260,390,44061,110,3924,0,435,293554,391605,222
,五汴村,428,346990,10466,6751,226399,12789,7280,1616,308,78699,540,1855,0,287,175601,296191,86
,光雲村,407,257416,6702,832,213993,8911,1545,106,76,16481,0,8404,0,366,161956,205379,189
,東寧村,456,296955,13338,3061,240257,10203,1784,108,262,25987,0,1369,0,586,183124,239822,16
,永興村,438,312741,9444,4155,236850,11789,2484,215,247,45506,0,1730,18,304,183011,258903,293
,崙子村,421,292415,7099,3426,239567,9790,1585,292,185,27992,0,2188,72,220,186224,239050,332
,獨鰲村,205,130246,4219,949,105180,4253,858,15,80,13029,9,1452,0,201,79593,104659,194
,敦厚村,181,118852,7741,863,86140,6571,1044,0,29,14851,0,1613,0,0,64411,97123,17
,崙美村,152,98108,1580,177,80724,2410,360,49,66,12009,0,724,0,8,62316,79700,0
,同安村,159,97287,1285,973,82697,2505,334,98,49,9082,0,254,0,10,63181,77772,27
,同仁村,179,109013,3876,4046,86064,4193,854,166,108,9235,0,462,0,9,65311,88259,11
,四芳村,147,84571,2513,945,70025,4797,541,0,35,4550,0,1031,0,135,51366,65912,20
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,湳墘村,181,103609,2498,568,82197,4417,396,41,77,11610,0,518,0,1286,60545,81956,0
,福興村,245,179953,6999,2681,144234,7040,1798,59,202,15651,0,1210,0,78,113092,148811,13
,竹子村,286,178556,2056,1498,151984,5576,2019,69,150,13861,0,1306,0,36,117687,144259,15
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,8001,5373041,162431,83989,4243494,223507,49265,6272,4884,536998,946,52362,104,8788,3272943,4403203,2104
社頭鄉,社頭村,813,573294,18585,18435,431542,33016,11384,498,496,52366,67,5486,0,1418,338656,480408,235
,廣興村,1294,831388,24312,11453,641854,35768,12425,512,1189,92807,18,7874,0,3175,490385,679958,145
,仁雅村,804,578160,15508,18747,416965,32602,5988,906,829,79473,241,4635,0,2266,321776,482972,65
,崙雅村,272,207583,5783,1475,168687,10105,1413,238,211,17567,20,1996,0,86,135454,174350,26
,美雅村,310,209328,4072,3760,182394,7408,1341,281,70,8698,27,1270,0,6,142152,169086,38
,里仁村,260,175673,2692,564,148617,6204,1156,245,146,14556,0,1458,0,34,114880,141936,212
,舊社村,389,250238,8947,4423,197610,11150,2726,40,141,23371,12,1310,0,508,152522,205150,23
,松竹村,274,180617,5185,2074,152807,6056,1689,782,70,10940,0,714,0,300,118820,146630,77
,東興村,377,231523,8796,802,193976,7373,1147,3484,129,11014,0,3395,0,1406,148338,185885,5
,廣福村,239,154206,3834,1469,132135,5549,947,94,146,9060,214,734,21,3,102309,124380,253
,橋頭村,511,361639,16005,4301,256117,15981,4369,158,151,62082,6,1689,0,779,193058,298585,35
,湳底村,402,270426,14928,2884,210200,8439,2443,533,148,29130,64,1560,0,98,159194,219420,14
,新厝村,368,245536,4510,2270,207362,9451,1182,276,164,18247,0,1901,0,171,161738,199911,70
,張厝村,305,192571,6839,2338,149792,4633,1440,648,201,25561,28,907,0,184,112311,155445,10
,埤斗村,231,149960,2936,967,122104,4150,883,2222,81,15516,4,1030,0,68,93948,121804,14
,清水村,321,306934,103880,3022,151314,13139,3108,604,140,30680,27,877,0,143,114137,269858,21
,山湖村,274,183415,6311,3119,137708,7806,2200,471,136,24964,14,542,0,143,104711,150418,19
,朝興村,279,208256,3152,1788,158943,12140,1294,267,148,28464,29,1078,0,954,125371,174684,187
,仁和村,172,118034,3198,456,96281,4693,1933,25,107,10524,0,810,0,6,73145,94899,0
,泰安村,255,168344,5353,1443,137537,5813,720,0,98,12867,0,4293,0,220,104545,135352,131
,平和村,247,142322,2172,1456,117818,4538,669,67,605,13970,0,765,0,262,87985,112489,29
,龍井村,201,118125,3461,2399,96421,4654,746,18,70,6019,0,560,0,3778,71942,93646,16
,湳雅村,350,237930,5605,2716,200027,7009,1156,52,208,19502,118,1414,0,122,153515,191418,127
,協和村,551,344851,14134,3242,278096,12417,3338,321,197,29531,0,3372,0,203,210901,277656,134
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,9499,6440352,290201,95601,4986307,270095,65699,12742,5884,646910,890,49672,21,16332,3831792,5286337,1883
二水鄉,十五村,167,102526,1386,271,94902,3109,294,46,102,2059,2,353,0,2,72988,80612,39
,合和村,192,127655,540,654,106387,3844,1961,29,164,13630,8,439,0,0,81641,102909,125
,上豊村,234,141465,2309,2266,119338,6445,455,232,204,9375,0,763,0,77,90664,112791,10
,過圳村,148,99703,2799,2396,81395,2866,138,2,65,3604,0,6301,84,51,64087,82395,304
,五伯村,138,107425,3898,378,83834,4036,427,50,55,14087,0,458,0,202,65942,89534,58
,光化村,283,211354,7963,4049,161249,14642,3316,962,194,17278,347,1186,0,168,128347,178453,96
,文化村,260,232397,8574,2856,172560,12523,1243,182,303,30879,0,2790,0,487,139462,199299,154
,二水村,248,170974,4816,2501,143839,10006,1324,106,138,7062,0,1043,0,141,113596,140731,1
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,聖化村,123,90520,1853,3290,67232,10434,980,128,85,5949,0,513,0,55,53773,77061,126
,裕民村,254,173839,3955,2639,143146,9811,5348,93,90,6986,34,1583,0,155,112872,143565,56
,惠民村,178,119968,297,894,106432,5913,653,53,54,4841,0,822,0,10,84091,97627,86
,大園村,172,117707,1280,1183,99781,6102,667,35,76,8010,41,493,0,39,77391,95317,182
,修仁村,183,121045,1848,1062,104783,3669,287,518,84,6490,67,628,0,1608,81660,97922,0
,源泉村,129,100428,1523,1190,83099,6263,1001,91,67,6262,16,630,0,286,66513,83843,9
,倡和村,106,67358,3544,809,58998,1127,554,13,39,1632,0,555,87,0,46046,54406,333
,復興村,219,133021,2065,1563,116628,2882,605,0,77,8217,193,666,0,126,88297,104690,11
,合興村,153,98616,2339,922,84010,4806,1519,577,44,3781,0,566,0,51,64709,79315,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3187,2216004,50988,28922,1827612,108478,20773,3119,1843,150142,707,19787,171,3460,1432077,1820469,1590
田尾鄉,田尾村,265,170336,6318,3364,127681,9768,2812,482,182,14879,0,3702,0,1148,99943,142598,20
,豐田村,144,90987,2201,1341,70939,3756,1432,12,35,10508,4,704,0,56,53769,73818,0
,饒平村,668,505248,12838,10952,391928,31041,6105,330,325,46978,78,3597,0,1077,311197,424517,46
,北曾村,375,283046,11856,7616,199151,9670,1937,177,351,46106,0,4146,0,2036,152266,236161,2
,南曾村,312,230229,6564,1870,171208,9259,1134,172,96,32335,0,5933,229,1429,132940,191991,690
,睦宜村,239,155347,3812,3774,122679,5569,1931,134,132,13806,0,3307,0,202,93787,126455,0
,新生村,300,199717,4508,3171,168385,5581,1364,218,137,15336,0,913,0,105,129915,161248,51
,北鎮村,304,191143,7997,3098,147181,6345,1056,1596,126,21822,0,1278,281,363,110971,154933,703
,南鎮村,122,80592,3424,1035,63601,5288,1964,34,28,4339,0,671,0,207,49240,66231,21
,福田村,185,131038,1223,1517,108175,12181,365,198,42,4979,0,650,0,1709,86949,109812,215
,新興村,268,179750,7657,1344,154166,5477,620,0,123,8045,0,2293,26,0,121302,146888,289
,打簾村,334,214800,10352,2223,154278,14180,2964,118,153,24562,0,2751,0,3220,120500,181022,17
,溪畔村,276,193057,6802,2129,150456,9515,2607,133,117,18681,488,972,0,1154,119287,161888,93
,柳鳳村,188,122630,4298,1453,92482,6831,2776,147,133,9322,0,1453,0,3734,71401,101549,12
,陸豐村,171,120652,3770,2860,99128,5062,562,73,204,7304,0,1662,0,26,78470,99993,26
,海豐村,271,196018,8249,3029,142583,8680,1244,403,59,27825,77,3785,0,83,111023,164458,40
,仁里村,337,201288,5620,1960,164209,8261,1566,114,168,16853,86,2291,0,160,122543,159622,4
,新厝村,62,32728,1720,43,26266,1906,380,50,17,2223,0,124,0,0,19301,25763,79
,溪頂村,174,125348,1555,576,92889,6057,1754,90,79,21750,0,570,0,28,72624,105083,17
,正義村,217,182596,6639,1075,135615,8726,722,132,87,28373,0,746,211,270,108266,155248,493
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,5212,3606549,117404,54431,2782999,173154,35293,4613,2594,376025,733,41548,748,17006,2165696,2989277,2820
埤頭鄉,和豊村,533,357393,12901,3588,284689,11893,4470,151,230,37402,0,1881,0,188,218596,291300,177
,興農村,392,273147,13174,2675,207750,12417,4236,85,142,29491,0,2719,138,320,159073,224381,446
,埤頭村,387,275457,5661,3613,208686,15505,2655,99,282,35102,557,2728,0,569,161656,228427,239
,豊崙村,518,370563,22115,2643,265304,9006,3196,477,275,62757,168,2943,0,1680,199222,304481,180
,永豊村,363,264209,4101,3704,202975,13035,2479,308,192,35689,0,1478,0,247,157970,219204,273
,崙子村,315,240372,9248,4278,181309,7282,2179,59,82,30824,0,4098,0,1013,142057,201120,9
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,合興村,857,628374,27367,15713,463848,34640,8790,1354,357,66497,549,8186,13,1060,362099,526618,350
,平原村,497,372295,11336,12013,284926,14080,2053,191,175,44750,4,2466,0,303,223349,310719,51
,崙腳村,166,115385,8649,1429,75192,7069,3462,34,47,18181,75,1073,0,175,54421,94614,3
,元埔村,127,119064,2448,452,75049,4904,761,14,96,34144,0,1195,0,0,60149,104165,31
,芙朝村,331,228099,7643,2434,179493,11398,1527,263,162,22399,188,2194,0,397,138276,186881,25
,新庄村,232,172851,2516,2323,142062,7558,2226,0,97,13645,0,2417,0,7,113760,144548,17
,陸嘉村,155,108603,1471,1448,89868,5133,411,11,37,8824,0,1399,0,0,70036,88771,12
,竹圍村,231,156835,4154,2898,136147,6704,371,57,72,5479,7,731,0,214,106280,126968,77
,中和村,307,222936,5840,3851,167615,12580,1800,277,182,27475,9,1804,0,1504,130492,185813,28
,庄內村,207,138004,2845,249,112544,7378,216,43,111,13240,0,1301,0,77,88272,113732,8
,大湖村,210,145628,5917,574,111007,4924,2534,62,108,18618,0,1745,0,139,84631,119253,48
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,5828,4189215,147385,63885,3188465,185504,43365,3486,2649,504517,1556,40360,151,7893,2470340,3470995,1974
芳苑鄉,芳苑村,153,102177,1377,1466,74423,2647,1610,144,165,16835,0,1240,0,2271,56924,84678,6
,芳中村,66,48060,765,146,37985,2121,847,0,53,5716,0,428,0,0,29624,39699,0
,仁愛村,132,111610,4110,1476,79238,4014,2915,623,81,18221,0,903,0,29,63238,95610,29
,信義村,95,68775,757,340,53111,3144,246,177,39,10495,0,343,0,124,42969,58633,0
,後寮村,211,155485,6281,2853,101482,6952,650,193,225,35022,45,1779,0,4,74279,128281,3
,三合村,531,370555,9999,2553,274929,15734,2754,377,482,59680,0,3679,0,367,210461,306088,557
,永興村,207,129082,8247,1562,99531,5209,689,0,214,12603,0,1027,0,0,76626,106177,8
,頂󿾴村,100,69225,4924,1256,50395,4266,1103,89,80,6616,0,497,0,0,39160,57990,103
,五俊村,60,46166,2103,479,25752,2440,68,2,6,15195,0,122,0,0,19473,39887,0
,王功村,315,191100,7503,5101,146038,12557,1122,170,277,16443,424,1465,0,0,111439,156501,38
,博愛村,115,66769,847,1439,56597,3749,394,117,32,3048,0,475,0,71,43607,53780,1
,和平村,99,51113,2110,515,41295,2614,1417,3,17,2394,0,749,0,0,30318,40136,3
,興仁村,184,131291,2785,338,91497,4385,1052,80,111,28077,0,2009,0,957,69931,109725,1
,民生村,123,70208,1352,906,54895,3332,1295,66,44,7677,0,532,0,109,42416,57729,48
,新寶村,227,125704,6499,1943,100902,5562,839,770,83,6972,0,1965,0,170,75979,100782,18
,漢寶村,635,401625,25627,6986,303079,11577,4184,1140,296,43232,21,4713,0,769,229878,328873,45
,路上村,103,67651,2951,320,53812,4868,1255,0,143,3035,416,436,0,414,41668,55507,0
,路平村,130,92488,5339,791,72672,3137,1543,2,63,7781,0,898,0,262,56306,76122,3
,三成村,146,96347,1154,2478,78356,6784,1038,221,180,3149,28,2741,0,219,60936,78927,17
,福榮村,92,57106,90,575,48829,2908,2278,65,152,1803,0,406,0,0,37630,45907,8
,新街村,115,79111,2977,1794,55307,3247,332,46,77,14879,0,452,0,0,42615,66419,0
,草湖村,287,182360,4020,3954,151206,10265,2570,522,579,7561,24,1525,0,134,116185,147339,40
,建平村,377,235652,11703,4814,166919,7477,3031,259,176,39265,563,1141,0,305,125324,194056,3
,新生村,201,126017,5653,2694,90475,4106,2416,207,127,19124,0,1215,0,0,68044,103586,30
,文津村,150,92388,5022,3701,69891,2932,1548,254,174,7638,0,1135,0,95,53000,75498,346
,崙腳村,106,70013,3800,2565,52751,2747,498,715,101,5804,0,467,0,567,41193,58456,29
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4960,3238081,127994,53042,2431366,138775,37693,6241,3978,398264,1519,32342,0,6867,1859222,2666386,1333
大城鄉,潭墘村,191,149705,4177,1190,109294,7522,2803,257,71,22966,115,966,0,343,86645,127057,42
,上山村,182,118846,3271,2733,91442,5747,1289,160,72,13304,0,827,0,0,71229,98633,3
,東城村,269,186595,7866,3810,151782,6863,1836,201,110,12388,0,1311,0,427,119478,154291,220
,大城村,231,147736,10050,1588,116121,5386,2538,178,156,10219,0,879,0,621,90519,122134,9
,西城村,158,105215,1348,3225,82738,5257,294,0,137,9036,29,2700,298,154,64792,87270,635
,山腳村,190,128015,10234,2421,99520,3911,848,15,128,8537,0,1251,0,1149,76365,104860,4
,永和村,113,76067,2826,726,57540,2113,525,53,70,11260,0,319,0,635,44195,62721,88
,菜寮村,165,110527,11943,368,79120,3515,819,260,71,11877,0,1039,0,1517,60919,92326,36
,公館村,143,98353,3113,1912,78959,5830,1202,246,83,6136,0,717,0,157,61790,81185,4
,頂庄村,110,69279,2136,617,53562,1830,1421,59,79,8965,0,596,0,14,40787,56504,0
,臺西村,119,73928,7730,2453,57320,2201,1412,0,63,2580,0,149,0,19,42673,59281,1
,東港村,177,105102,5842,1479,82011,2591,2088,166,128,9325,0,1016,0,457,63725,86816,3
,西港村,126,77964,1746,549,66169,3748,884,0,58,4195,0,616,0,0,51613,63408,1
,豐美村,140,81084,2363,2564,64312,2796,700,118,74,7472,0,597,0,87,48118,64890,8
,三豐村,70,53590,1101,2980,43292,2086,88,1875,40,1571,0,557,0,0,35028,45326,9
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2384,1582007,75746,28614,1233181,61397,18748,3588,1340,139830,144,13541,298,5580,957876,1306702,1062
竹塘鄉,竹元村,225,152451,2164,819,120406,9471,2024,285,260,15760,0,849,0,413,93734,125779,23
,竹塘村,477,342453,8750,8871,263973,31086,4840,157,533,22453,10,1672,0,108,210937,289417,226
,小西村,154,122673,940,228,96466,5606,2486,46,107,15288,0,1485,0,21,77140,103347,18
,五庄村,283,194738,7256,2696,151776,9984,1532,20,173,18484,2,2564,0,252,118351,161313,168
,樹腳村,112,64024,784,89,56361,3314,521,0,72,2109,78,637,0,59,43001,50664,145
,田頭村,199,143500,2692,1100,117922,6595,709,129,263,12438,0,1640,0,12,93807,119384,68
,新廣村,237,175535,7853,323,137386,11456,462,32,75,16212,0,1700,0,37,109468,147617,6
,溪墘村,69,47335,1174,62,39239,2757,18,243,46,3591,26,178,0,0,31685,39781,146
,竹林村,131,85862,6196,121,63928,3082,323,103,68,11245,0,796,0,0,48777,70711,18
,土庫村,102,63572,1422,492,49706,2340,1126,111,43,7737,0,595,0,0,39003,52868,3
,內新村,126,82536,795,1218,63282,4383,774,151,20,11319,0,567,0,26,49065,68318,0
,長安村,142,86322,2914,787,65891,6984,963,96,32,7875,0,475,0,305,51243,71674,0
,永安村,81,49734,396,39,41814,2624,548,303,58,3395,0,547,0,11,32610,40530,2
,民靖村,146,107955,2851,1423,92405,2948,1264,25,74,5587,0,1378,0,1,75373,90923,1
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2484,1718690,46187,18268,1360556,102629,17591,1701,1824,153492,116,15084,0,1243,1074195,1432329,825
溪州鄉,溪厝村,425,278936,5765,1096,214068,13205,9543,527,232,32387,0,1460,310,344,164522,229389,666
,坑厝村,146,97348,2643,458,80719,5358,824,0,56,6231,107,910,0,42,62378,79007,24
,瓦厝村,236,163653,5316,3719,122136,12149,1857,310,143,16196,40,688,0,1099,97553,139069,270
,溪州村,405,408258,13696,6464,231878,22321,3700,305,366,127061,3,2208,0,255,186944,363323,32
"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,尾厝村,434,315199,7758,5347,252285,16996,2125,56,218,27452,16,2118,0,827,199374,262289,17
,東州村,475,383245,8832,3402,265685,36249,1023,388,241,60890,0,1901,0,4635,208307,325868,38
,舊眉村,290,225272,7177,4972,158658,8695,1339,87,420,41851,50,1448,0,576,125151,191765,76
,圳寮村,276,170268,9243,244,142270,5267,2268,87,188,6568,0,3769,211,153,108473,136466,715
,西畔村,388,218255,5505,4368,183980,8067,1877,372,193,10664,1141,1541,51,496,140002,174282,316
,成功村,344,220518,3688,3600,186558,12256,866,24,336,11560,89,1028,0,511,145803,179763,40
,大庄村,348,223431,6818,766,183329,9127,1779,250,140,18893,0,2308,0,20,144245,184346,23
,柑園村,182,122902,1318,1229,106052,2759,752,105,132,8902,0,1295,0,359,82731,99581,1
,潮洋村,163,105225,5746,728,88080,4402,682,139,120,3999,0,1089,0,240,69027,86172,121
,張厝村,115,75861,2812,397,64378,3166,1296,66,173,3081,0,344,0,149,50480,61963,49
,菜公村,155,99584,1467,339,80170,3431,806,165,80,11783,79,1255,0,9,63149,82562,6
,三圳村,243,164757,1815,419,138883,7556,953,102,109,12749,0,2014,0,156,108863,135172,1
,三條村,174,117162,5711,546,90841,8095,1033,405,81,7805,617,940,0,1087,70408,96763,13
,水尾村,295,213901,6065,938,175993,7369,1727,909,767,17590,0,2022,0,523,141011,178919,39
,榮光村,120,76573,2995,1234,64986,2871,621,235,75,3029,0,526,0,0,50275,61861,293
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,5214,3680346,104369,40266,2830949,189338,35072,4532,4070,428691,2142,28865,571,11482,2218696,3068561,2740
其　他,其　他,156,156214,1530,4607,99302,11124,8067,256,38,29985,21,540,0,743,80893,137804,101
,合　計,156,156214,1530,4607,99302,11124,8067,256,38,29985,21,540,0,743,80893,137804,101
