"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
中　區,繼光里,476,388209,15110,7848,223173,28310,31974,1160,1127,74413,89,1964,0,3041,183352,348389,176
,大墩里,689,670888,14452,22704,371037,54223,39662,4041,443,149769,233,6571,64,7689,304321,604171,1252
,綠川里,527,383656,14243,10064,235958,23233,23863,2788,283,63906,0,2999,0,6321,188447,336145,306
,公園里,495,491532,18240,30947,199759,40494,74884,1774,235,115477,0,3231,23,6467,158372,450145,361
,光復里,611,844526,18730,24572,346931,45281,29769,724,563,273334,149,4001,58,100414,288840,786434,826
,柳川里,454,517259,5761,10603,257537,17301,22978,1436,336,194308,113,1857,70,4960,210372,470043,827
,大誠里,571,542459,9573,14154,317544,27904,18957,2032,449,143642,12,2109,0,6084,256485,481403,143
,中華里,435,362201,8417,7885,229703,20703,19036,1288,243,68536,0,2502,0,3890,186988,319486,252
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4258,4200731,104525,128776,2181642,257449,261123,15243,3678,1083384,596,25234,216,138865,1777176,3796216,4143
東　區,新庄里,862,768230,19322,28756,452967,59676,35169,1657,310,157422,113,7512,312,5012,369841,685104,1297
,泉源里,474,351413,11636,8215,258017,16067,6255,783,230,43700,46,5277,0,1186,204658,298053,246
,東門里,2173,1570118,73154,20702,1061293,64845,33181,2706,970,296720,26,11638,124,4760,811113,1319935,1487
,東勢里,741,541292,14324,18485,391575,32908,10011,1167,311,60775,0,9168,173,2394,310458,460035,1006
,合作里,1045,751988,8818,18735,605048,47651,11116,1619,506,48041,662,4764,0,5028,479618,626559,417
,振興里,961,767799,20492,30314,498063,39611,25394,1254,1074,146025,21,3775,0,1775,390057,659792,399
,東橋里,1153,903436,36869,14064,559770,51376,25385,9931,529,192337,1106,6386,0,5683,430991,774663,790
,旱溪里,664,522849,15010,8175,327076,24878,18742,517,240,124329,0,2148,0,1733,254879,450653,245
,樂成里,583,445451,13086,7251,323458,19366,11666,943,515,63692,7,3873,20,1573,253240,375232,322
,干城里,732,579489,11966,14487,387779,37950,13623,1894,261,102856,155,5651,64,2803,313628,505338,644
,東南里,1070,822665,20760,17070,621244,51142,13719,1836,769,82672,464,9637,159,3192,495139,696553,801
,十甲里,1340,1084312,35325,24495,735331,49355,37983,5923,600,180947,406,6873,637,6436,581906,930785,2300
,富臺里,419,274037,4247,4824,225089,13412,5170,384,243,17151,0,1700,0,1817,175960,224919,619
,富仁里,1139,1003334,9312,22392,771037,67247,14435,2396,655,103706,1378,6245,239,4291,640980,873277,1652
,東興里,963,817306,26712,8769,527676,56080,26330,1639,943,155982,520,6192,80,6382,420798,710428,767
,東信里,2933,2246128,82801,42985,1567858,87500,50081,6296,1415,368802,530,16683,642,20534,1209513,1887782,2287
,東英里,2053,1807255,68836,33726,1194415,101643,45998,6589,2095,314134,664,22580,1816,14759,948022,1560775,4421
,其　他,2,505,0,0,504,0,0,0,0,0,0,0,0,1,288,289,0
,合　計,19307,15257604,472671,323447,10508200,820707,384259,47536,11664,2459292,6099,130104,4267,89360,8291089,13040171,19701
西　區,民生里,711,741249,7713,36147,515899,58923,12144,1692,763,91477,531,3437,0,12523,437630,662980,421
,利民里,526,617773,4274,27541,430597,54377,10998,471,431,79295,302,4318,320,4847,369404,556477,2046
,三民里,653,789297,4430,41261,555318,54554,14302,4251,569,94503,46,6004,2343,11716,479399,713170,5006
,東昇里,870,882506,11447,31047,588867,76281,27058,3447,616,118981,985,6028,210,17539,495511,789209,1522
,廣民里,466,423742,8450,11430,245865,33579,35374,1399,410,78956,188,4855,0,3238,201921,379798,273
,平和里,692,675902,6640,31893,494260,42196,19351,2364,672,65278,302,5320,191,7435,416146,597787,1329
,公民里,1701,1872638,21815,51788,1148980,139538,65973,3588,1647,396109,3076,11386,481,28258,971540,1695198,4431
,公舘里,1793,1636755,34756,74934,1095751,88600,47912,6915,1189,233744,1407,16623,230,34693,895656,1436608,2116
,和龍里,642,491147,11381,16008,350799,27858,20771,1707,356,48570,0,4205,94,9399,281795,422138,504
,民龍里,1108,1211237,18257,62687,746570,64374,54772,6867,1157,212822,462,10297,508,32464,627415,1092191,3583
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,後龍里,1190,1511337,20496,40215,780580,73017,49850,4269,923,516828,2821,7802,181,14353,656914,1387234,2164
,安龍里,1022,1708085,15401,35128,686472,89629,46944,5703,1430,806090,2568,6666,261,11794,582640,1604216,2008
,忠明里,1969,3002451,40267,106506,1396713,132660,108113,15647,2076,1149549,435,13721,966,35797,1192359,2798060,5835
,公正里,2273,2366363,55581,77481,1678309,112922,94038,8436,2220,286951,2029,19808,48,28539,1411118,2099211,2274
,昇平里,1914,2101465,33051,55976,1310574,111298,55893,7704,1380,480511,1067,16918,399,26694,1094971,1886232,3499
,土庫里,1998,2835846,77469,113781,1494361,170183,57402,12366,1826,793168,2060,45802,832,66595,1271057,2612397,5787
,藍興里,1401,1459106,14846,39342,1007871,111270,32327,7947,1184,222144,2709,11301,551,7614,841339,1292449,2650
,吉龍里,2385,3220390,45713,106704,2014839,161002,71598,17140,1673,740605,3855,23312,672,33278,1741508,2947653,6527
,忠誠里,2143,3210989,55477,78864,1319311,150544,106784,7988,1224,1447852,11593,13823,318,17210,1091597,2983163,3236
,公益里,895,670208,15178,22984,461344,48004,32288,4759,527,73586,232,4829,0,6478,368673,577537,272
,中興里,1312,1965998,25026,47942,918791,79906,98754,9162,1022,732702,2156,11122,262,39154,783218,1830431,2613
,公平里,1732,1936852,29208,62406,1213524,106833,79374,7258,1559,395994,605,13116,399,26575,1020534,1743280,3603
,公德里,1539,1674174,16102,43168,1128810,88707,49774,9534,1761,281655,355,9672,268,44369,954449,1499814,3093
,大忠里,1582,1736832,23416,59546,1244799,88159,32624,5276,1546,239826,1060,21716,330,18534,1054960,1547835,3788
,双龍里,940,1358006,8324,41304,631418,57882,25441,5812,758,571550,139,5652,673,9053,529991,1256325,2738
,其　他,1,433,0,0,433,0,0,0,0,0,0,0,0,0,325,325,0
,合　計,33458,40100782,604716,1316084,23461057,2222297,1249859,161701,28920,10158750,40983,297732,10537,548147,19772070,36411719,71317
南　區,城隍里,1166,956399,12289,31999,650608,70104,39449,5590,1357,130928,13,7090,161,6811,525747,831573,1312
,南門里,1277,1210610,18993,20663,842461,79246,30913,3307,872,162770,119,42799,66,8401,700577,1068685,2092
,德義里,1059,936673,13364,22851,685965,59106,32630,3845,564,107358,462,7426,608,2492,564100,814960,3320
,積善里,842,660041,13066,7623,493563,39352,20445,876,348,75805,6,4536,199,4221,396826,563292,1877
,江川里,1049,980146,18499,35354,739604,51186,12186,2219,1250,107619,243,5510,470,6005,613349,853874,3049
,新榮里,1459,1314262,24953,42136,1023378,61801,13062,4774,1258,124068,1966,9397,507,6964,842916,1135428,3110
,福興里,1291,1040296,26597,24918,799702,59592,13999,2585,847,97413,112,4984,356,9192,646835,887429,2115
,和平里,1370,1198566,27375,38002,853488,54439,27824,4145,820,178939,298,9075,199,3962,687051,1032129,1122
,永興里,2431,2256313,42528,63930,1718020,90600,38580,13130,2344,248485,1331,21877,298,15189,1405834,1944057,4055
,樹義里,3523,3160046,68122,63001,2420227,123587,52492,8077,2418,370360,5848,29889,235,15791,1956091,2695884,3151
,樹德里,2672,2479513,44564,60994,1914597,101920,61083,22571,2248,233561,899,18933,278,17866,1557071,2122133,2927
,西川里,1483,1380682,17546,44311,1072938,63304,13043,4079,1832,137814,135,11885,612,13183,887696,1195480,2965
,國光里,1313,1085023,26169,23521,771616,81560,25126,1878,786,133643,775,14843,85,5021,628349,941752,1388
,福平里,1680,1359860,27987,31091,1041840,62906,24650,4112,735,150267,1751,9943,145,4433,842728,1160748,1355
,長榮里,950,795051,20611,21222,513015,59020,29555,1450,531,128523,709,7582,441,12392,411598,693634,1675
,長春里,714,638053,12577,18277,411290,46176,22572,1253,3940,111785,424,7439,98,2222,336660,563424,1036
,福順里,1854,1640572,20709,53771,1278501,81997,26932,3793,1397,145417,2977,17327,96,7655,1049474,1411546,2473
,平和里,1164,974514,18264,15768,720095,57301,16223,2584,607,131970,280,7604,375,3444,580092,834218,2669
,南和里,2061,1842307,34441,64515,1431783,80200,20201,6791,1463,175167,1716,15861,1076,9093,1171042,1581440,5773
,永和里,1445,1158182,15977,25333,943024,51687,12702,4008,906,88556,407,10780,155,4647,763364,978522,2373
,工學里,2210,2061221,36874,57921,1650753,85723,23999,12469,1910,155523,2750,21610,174,11515,1358727,1769104,3165
,崇倫里,1891,1645349,35649,42473,1318895,66267,21513,6619,1389,126631,1867,15767,0,8279,1077212,1403916,1696
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,34904,30773680,577153,809674,23295363,1527073,579178,120155,29822,3322602,25089,302157,6635,178780,19003341,26483225,54698
北　區,光大里,535,380745,13269,10983,252346,21732,10564,1794,234,62346,0,4464,79,2934,199723,328122,777
,新興里,427,325238,6010,10183,200497,21325,28520,12257,304,39301,1332,2368,0,3141,160018,284759,507
,錦村里,1052,870058,7787,21627,660683,68806,11134,1825,743,77944,144,6336,455,12573,541539,750627,1802
,邱厝里,765,844188,9489,30946,586077,54178,36787,3425,728,103227,2194,6558,319,10262,503798,761651,2523
,賴厝里,1395,1450192,32752,56440,1036958,76331,24991,5974,1564,184517,2151,13610,105,14799,866182,1279416,2571
,賴村里,1361,1248737,17189,36727,844855,69289,28081,3365,833,232199,100,8009,27,8063,694803,1098702,1727
,淡溝里,1700,1844097,21400,95043,1248876,112939,41562,5760,1752,270138,328,12972,1195,32133,1062647,1657842,6180
,中達里,748,601675,10120,21657,444629,41728,16240,1874,511,54210,400,5228,0,5077,363270,520315,903
,新北里,666,1315892,11381,16090,422593,53539,81946,15331,446,680895,197,7970,195,25310,359780,1349186,1893
,樂英里,693,485078,5656,6835,370162,43033,3734,1219,981,46769,1104,3666,6,1912,297822,412868,463
,錦洲里,1057,886988,14676,34895,655877,53177,15521,3608,721,92188,323,9822,319,5861,534733,765866,1395
,金龍里,1301,996996,16247,45791,702161,72193,18838,1710,765,125208,571,9471,601,3440,566361,861119,2793
,文莊里,1013,816127,8593,36001,577318,64704,19539,4913,388,86243,1045,4856,163,12366,468487,707296,1359
,金華里,815,905678,16084,40166,612679,59907,21567,4277,386,120466,1592,6002,480,22073,525172,818168,2585
,五常里,350,290169,4602,7740,206348,17607,21068,555,115,26783,0,1874,0,3476,169125,252946,301
,育德里,1161,1343003,15579,104629,874812,82009,32395,8283,1380,206436,754,6951,150,9625,746760,1214948,3240
,頂厝里,1389,1478270,26379,41948,1002600,72641,48424,10548,1524,248677,1317,17280,379,6552,848406,1324076,2514
,建興里,1833,1551205,31773,49797,1115112,96010,39347,5326,4936,176196,355,15862,61,16431,915708,1351805,2502
,建成里,1562,1080920,36047,15712,834177,41463,16038,2764,1058,117760,523,9991,255,5134,641634,888667,1227
,健行里,2068,2698614,33252,88521,1485117,121008,75071,7532,1879,856606,2234,15267,134,11995,1248598,2462100,2268
,明德里,1841,1696449,27372,51372,1201381,105335,51635,9071,1806,206728,1839,20821,163,18926,996054,1491130,2082
,長青里,2001,1665864,29005,33444,1288332,93398,36392,5214,1553,154928,1855,13912,0,7830,1053901,1431433,1003
,賴興里,1342,1539712,85313,30298,874120,61101,28041,5033,1134,439676,666,9409,150,4773,718273,1383865,1818
,賴明里,1262,1091418,20181,45308,772350,54611,37414,3776,1127,137610,1126,8337,102,9475,634532,953512,1430
,錦祥里,1008,851949,8874,23934,646498,54537,19880,2202,1213,84402,556,6071,98,3683,532054,737496,1174
,建德里,1054,809342,17562,15398,593252,46555,9840,1110,789,116676,86,5709,0,2367,476911,693004,546
,崇德里,1127,1109649,14361,39574,774618,59106,19152,1520,1028,158303,805,27664,22,13495,642137,977167,1239
,賴旺里,1206,968106,23160,24946,729017,53470,28755,2134,786,91875,74,5409,321,8157,586085,825174,1085
,明新里,859,682036,13163,13320,486855,36760,28539,932,373,88178,1183,4869,0,7865,391386,586567,671
,立人里,1111,960509,22825,29056,705843,46483,15506,4714,1038,113848,1258,9405,137,10396,572678,827349,1001
,賴福里,1313,1583871,24075,73564,1078399,84858,26883,6564,886,261856,459,13193,2189,10946,924128,1429450,6647
,梅川里,994,1118777,14637,60064,720506,46794,17833,3695,943,235347,42,9324,87,9504,602493,1000783,1889
,錦平里,637,572362,9333,14379,364923,50060,33344,2288,1555,88736,24,3387,0,4333,302229,509547,338
,中正里,436,370400,5672,12159,271613,18408,13666,941,258,41794,0,3610,13,2264,223941,322727,814
,大湖里,497,318767,5891,9555,252738,13460,6271,718,234,22691,0,2728,821,3660,197481,263520,1452
,六合里,475,358967,5912,17992,252693,22634,14784,1194,226,38135,803,2388,0,2207,204730,311004,72
,其　他,1,534,0,0,0,17,60,0,0,457,0,0,0,0,0,534,0
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,合　計,39055,37112582,665620,1266092,25147013,2091209,979363,153447,36196,6089349,27438,314791,9024,333039,20773577,32834743,62789
西屯區,西安里,1623,2585610,26823,28000,1131683,73470,49658,5446,1383,1231096,3656,11399,1106,21888,936552,2390353,3861
,西墩里,1470,1733299,32467,58907,1044044,79605,60974,15379,1659,308791,2116,23928,1151,104280,874168,1563385,3483
,潮洋里,1585,2432471,75941,86616,1226010,101048,109230,16574,1223,753673,6270,14533,614,40739,1043480,2249942,3429
,龍潭里,224,176640,6177,1417,128369,8665,12427,211,286,17412,294,1255,0,127,101831,150103,178
,惠來里,4809,14088616,146681,475998,5014899,431916,405700,147198,4134,7109957,22531,117590,1457,210555,4456417,13525087,16693
,何安里,1793,1716399,35258,49511,1142946,88638,86386,7840,1671,248348,1955,8987,105,44754,940651,1513233,2251
,何厝里,1071,1089107,19286,24684,607635,44285,42298,2757,999,330433,402,11741,0,4587,489092,970563,912
,上石里,1713,1611259,22389,65465,1244949,64049,42867,6593,3284,137177,603,13047,64,10772,1022308,1388618,1819
,大河里,1273,1092185,20528,22488,761804,52783,53041,6175,660,161157,266,5533,126,7626,612720,943101,1185
,大石里,566,395743,6724,6356,320680,34733,2770,2079,426,18187,194,2117,0,1476,259330,334392,268
,港尾里,1537,1263479,28365,20939,953000,61177,28027,2702,1075,134322,1276,18094,126,14375,763043,1073549,1086
,廣福里,756,618526,35473,9735,422223,24738,27158,1952,339,88690,381,7133,0,705,331100,527424,108
,林厝里,1111,1602678,97107,50630,939818,62848,35872,5009,835,385027,361,14891,706,9573,799034,1461476,3917
,永安里,4056,4247103,80208,88242,3245439,145248,80983,26656,3812,496754,1214,27555,1088,49903,2724965,3725206,6973
,福安里,1018,1434237,28188,37643,847406,54825,21738,4730,1478,417606,4442,10615,96,5470,715905,1302530,1674
,協和里,1431,1725493,38838,13655,903702,51367,51092,2214,1558,646062,313,6762,477,9452,718745,1540348,3800
,鵬程里,673,483722,3999,9059,388609,38843,3100,2031,590,28117,659,5188,0,3528,309712,404825,187
,逢甲里,1442,1236615,17561,29074,886003,60080,50129,5138,1048,161616,739,13062,928,11237,723437,1074499,3039
,大福里,815,549446,13143,7092,426934,33580,15602,927,514,45358,206,3272,0,2819,337494,460009,431
,大鵬里,1461,1160381,18978,48849,877256,47893,21099,8140,2403,104067,1452,11366,0,18877,703806,986931,1320
,西平里,1567,1479442,16316,41705,1145644,75374,61561,3442,1068,107053,1245,13180,0,12855,958367,1291980,1675
,何仁里,2209,1867118,28947,52274,1409658,93193,44794,5765,1475,195318,2778,13927,0,18988,1150964,1608276,1336
,何德里,1329,1238281,26667,37001,909039,57981,29058,5273,935,139237,516,13272,84,19217,751059,1080301,1236
,何源里,2200,2002751,28365,55243,1423649,107714,46796,5859,1836,310894,2575,13061,562,6198,1169717,1749212,3171
,何南里,1602,1542638,16204,46132,1077317,95113,54377,7974,1090,214576,2364,18730,243,8517,897477,1362556,2021
,至善里,1501,1846016,13344,32642,1174460,69130,33909,5325,1299,481583,948,8940,82,24355,982627,1654184,1765
,上安里,1866,2032490,36152,72300,1492270,80782,37049,8909,2147,252418,3427,36039,225,10771,1251959,1791512,2510
,上德里,1518,1435889,18325,41520,1074248,86424,27429,7135,1378,157585,1517,13159,615,6555,891503,1252390,2528
,逢福里,1807,1785135,41850,37230,1331984,80816,54818,22673,1554,168181,2059,13195,58,30718,1112665,1565291,1704
,何明里,1250,1098865,25728,34782,774654,61571,32220,4053,748,141580,4057,6882,103,12488,633106,957265,1592
,何成里,2546,2627567,38509,75761,1804260,124488,81543,15077,2272,361610,2358,23534,126,98029,1500968,2323247,2910
,何福里,1487,1311757,20154,46989,931479,78654,44604,4023,1332,153274,1791,12936,30,16491,761493,1141891,1346
,福和里,1355,1205451,30880,16020,800479,50012,27674,2734,1341,253341,529,11839,0,10600,634489,1039204,340
,福中里,1151,1264379,23143,16398,755705,48036,22368,5240,724,380979,789,7645,120,3231,607911,1116585,1016
,福恩里,1726,1952648,21949,42580,1485711,66822,20363,6578,1759,288420,1245,11374,0,5847,1249780,1716562,3907
,福聯里,949,1067857,15619,15318,823212,39400,21191,4507,589,134614,469,5688,148,7100,703691,948293,1793
,福瑞里,1000,1134382,12210,16737,977963,36793,6921,3914,550,67434,192,5933,712,5025,843519,999890,4849
,福林里,2619,3982162,57306,86752,2748126,140710,78521,20107,2667,732460,43792,39616,605,31501,2409541,3643428,9931
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,福雅里,1961,2307696,25526,71073,1653875,83715,63469,37153,1548,334436,2416,16074,506,17904,1401818,2055121,4275
,其　他,4,2357,644,125,556,39,115,708,0,6,0,163,0,0,338,2138,0
,合　計,62074,74427889,1251971,1972941,46307697,3036559,1988932,446198,55690,17698849,124400,613257,12262,919134,38776781,66884901,106516
南屯區,南屯里,3005,3337208,48636,115408,2414966,136956,85692,18979,3967,451086,2025,35945,553,22995,2038534,2960814,4542
