"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,南寧里,587,469191,8515,16048,312075,51179,11107,743,272,61993,1698,3077,0,2485,251906,409022,345
,西寧里,515,331652,7772,4973,256523,22143,4330,164,254,29453,601,3674,41,1725,197979,273109,324
,北寧里,219,157809,7934,5626,96419,7599,3240,87,100,34265,0,904,0,1636,73806,135197,1
,中興里,142,101215,2412,4334,72748,9527,1817,5,213,9567,89,344,0,157,58832,87299,104
,西社里,726,587079,19450,13844,400314,36229,6634,1366,865,102538,737,3556,84,1461,315551,502786,1063
,南社里,2864,2280505,54844,27827,1846390,92332,11209,5689,2199,190830,2131,43534,304,3217,1463557,1898788,1847
,裕嘉里,461,291770,7602,1229,243578,12439,914,221,243,23701,0,1535,0,307,187328,235520,229
,臨江里,431,308724,6848,5167,228571,8708,6177,302,237,28388,869,2350,0,21108,176321,256474,315
,秀水里,1272,900690,30919,14631,691196,37646,5211,815,925,111057,30,6799,0,1460,534209,742096,200
,武鹿里,1043,759223,29976,15283,581773,30879,4378,603,1001,88648,0,5692,0,991,447299,624749,337
,海濱里,533,345974,14045,2194,238011,12061,4191,120,228,73455,0,1307,0,361,178802,286765,83
,槺榔里,1470,1078536,28528,16413,886022,37514,4508,1533,1147,88877,38,11267,0,2688,691789,884303,310
,中社里,817,595430,4537,4830,501671,31277,2430,4088,367,41838,542,3152,0,698,397840,491598,244
,高西里,305,173400,15373,1490,129817,7085,238,95,72,18104,0,615,0,511,94806,138389,14
,高南里,339,234417,16310,3355,174526,8719,1665,269,210,27760,0,1589,0,13,132152,192043,49
,高東里,295,202328,13348,3227,167670,5176,361,162,119,8577,0,3616,0,70,129051,164057,33
,高北里,297,197487,16510,2135,137000,8558,690,48,156,31175,0,1192,0,23,101923,162410,48
,高美里,339,228424,10539,2812,174198,8632,1758,2530,74,25678,0,2105,0,98,132403,186628,2
,國姓里,600,404669,26015,4150,296551,12567,2608,836,195,58016,0,3631,0,101,222298,330416,15
,菁埔里,659,398684,16939,4692,331336,14672,4844,866,171,22416,9,2672,0,67,250609,318780,72
,頂湳里,458,296594,15188,963,248103,11059,719,40,261,17427,0,2020,350,464,189784,238590,705
,田寮里,641,401731,22368,3699,318671,15350,2019,134,383,35097,0,2993,0,1018,240467,323527,25
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,橋頭里,2270,1691807,54314,23975,1306274,74686,16310,4229,1243,196250,134,11410,37,2943,1022518,1409059,404
,下湳里,914,639393,21217,7209,480849,30890,11862,511,654,80893,0,3211,0,2096,368618,527162,236
,東山里,306,176556,5930,578,146345,6254,923,960,143,12164,0,873,0,2387,105342,138981,25
,楊厝里,256,141006,4718,1419,109665,6054,2039,51,177,13494,2198,1191,0,0,76711,112093,12
,海風里,349,235416,8974,2227,166865,6785,8531,87,280,35490,0,5403,0,773,121966,193478,135
,吳厝里,376,211314,4604,5494,178232,5056,1944,205,121,11614,7,3762,0,274,129150,164607,77
,文昌里,243,180352,6450,1903,110773,13131,4639,248,103,41663,0,886,0,557,88561,158139,107
,其　他,1,721,696,0,6,19,0,0,0,0,0,0,0,0,0,715,0
,合　計,21133,15131292,501191,241667,11594233,712578,146349,30106,13369,1685633,10674,140436,863,54194,8990649,12542957,7893
沙鹿區,居仁里,423,360284,9314,11522,243134,18026,7545,344,158,68184,0,1569,0,489,193539,310928,214
,洛泉里,688,699958,8939,11081,386078,47932,29519,438,735,207249,91,5140,0,2756,313332,627212,438
,沙鹿里,372,491830,24514,23906,156600,28557,25344,632,229,225400,221,3680,0,2747,127273,462504,65
,美仁里,131,135303,6000,1548,64416,5435,5722,104,40,50362,0,1013,0,663,50326,121212,62
,興仁里,761,569206,10823,6057,407621,25049,19349,387,373,92052,388,3724,0,3383,319787,481372,154
,斗抵里,1361,1098987,28913,15644,817005,40920,17161,3540,870,164432,291,8213,0,1998,645451,927433,166
,鹿峰里,1494,1157710,31588,12341,885242,54040,19723,1569,934,139963,453,10101,0,1755,701219,973687,311
,鹿寮里,2030,1665864,47868,43204,1191028,86536,32750,2827,4751,231015,333,17711,0,7841,950165,1425000,341
,竹林里,2214,1883070,37794,27890,1385029,101966,19697,4119,1452,177562,994,20775,0,105791,1106281,1604322,449
,犂分里,298,199189,3335,4367,159137,7187,1266,3374,163,19222,0,1048,0,91,122084,162136,148
,福興里,1025,862188,20014,8073,665085,25665,9848,678,634,124316,128,5717,0,2031,529869,727411,293
,北勢里,1412,1160247,26948,21402,886364,48969,18876,4887,1014,135085,357,10380,181,5786,707724,981608,676
,晉江里,470,370335,7545,12739,276516,13724,15329,868,217,36760,0,4544,0,2092,221721,315540,79
,六路里,1507,1288802,23747,11478,1056951,40039,13116,4288,797,122185,377,10072,2,5752,858113,1089965,856
,南勢里,988,791873,20102,7539,654851,23443,4604,3385,813,66821,177,6050,70,4017,522596,659618,367
,埔子里,1578,1524269,34079,23224,1243091,44517,11067,13953,1461,137092,700,9246,181,5659,1024102,1305280,1554
,公明里,1216,878367,21825,7851,761626,26105,5556,1358,439,46924,727,4748,15,1195,598279,715335,504
,西勢里,534,319200,26011,1799,243638,9659,4816,182,175,28689,7,2270,421,1533,177716,254571,972
,清泉里,722,545049,11244,6055,470165,16225,4071,208,408,33161,255,2656,31,569,370423,445307,383
,興安里,1105,1326903,19281,20549,640311,38090,21193,3919,579,577539,0,4557,13,873,504408,1191000,420
,三鹿里,2037,1590474,28256,16772,1391350,33270,7432,12335,1393,79924,152,14949,51,4590,1108113,1307243,1184
,其　他,1,148,0,0,148,0,0,0,0,0,0,0,0,0,40,40,0
,合　計,22367,18919256,448140,295041,13985383,735354,293983,63396,17635,2763938,5649,148162,965,161610,11152561,16088725,9636
梧棲區,頂寮里,935,658552,26890,9134,506637,27035,8393,976,519,72375,6,4152,0,2434,390568,542483,216
,下寮里,606,445409,18919,5135,329726,22823,6639,247,346,56598,569,4259,0,147,253708,369391,137
,中正里,1303,1012017,18989,15544,755145,55389,16437,951,721,137716,12,8829,90,2194,592375,849414,571
,中和里,166,137875,6034,7743,104380,7240,2358,548,184,8301,0,1031,0,56,83351,116847,37
,文化里,415,336058,11892,8081,261110,18872,2086,99,253,28006,348,5015,0,295,209114,284062,61
,安仁里,244,173410,4292,3123,132802,6322,3993,590,255,20617,6,1088,0,322,103464,144072,85
,草湳里,1935,1420445,50874,12963,1042891,55355,11431,1896,1033,231204,49,10711,363,1674,798332,1175886,956
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,南簡里,1502,1102750,28972,10257,899006,39236,8229,1507,842,101506,211,10450,167,2367,700758,904493,746
,福德里,1306,981906,35051,16655,782437,33766,9890,1338,1156,89474,56,8969,0,3116,613894,813363,95
,大庄里,2303,1709015,49259,26926,1351024,62867,12245,3537,1158,180551,150,14492,19,6787,1054780,1412770,410
,大村里,1758,1346721,43340,17109,1079188,46189,8753,2297,1153,136553,171,9916,155,1897,842354,1109887,1094
,永寧里,730,578375,16487,1532,382459,21648,13758,214,390,135234,45,5122,0,1485,290074,486236,88
,永安里,821,635162,30008,5417,401826,21324,10546,545,731,157096,2,4053,250,3365,300886,534096,832
,興農里,716,513837,11051,5018,421133,13979,3273,594,374,54266,0,4026,0,123,323347,416051,54
,其　他,2,814,0,0,753,0,0,0,0,61,0,0,0,0,537,598,0
,合　計,14742,11052344,352057,144636,8450518,432044,118031,15340,9114,1409558,1625,92115,1043,26264,6557541,9159647,5382
神岡區,神岡里,992,667734,24401,16318,498334,30955,15538,418,692,71017,53,7356,0,2654,377866,547266,250
,庄前里,676,466791,26905,2237,329039,19170,19732,402,243,66437,44,2310,0,274,244839,382593,242
,庄後里,628,409422,23769,2730,286046,13759,16021,563,189,63097,0,2547,0,701,209019,332394,119
,北庄里,840,540490,23087,7376,386575,23293,22968,1023,517,71976,0,2373,0,1302,284098,438013,437
,圳前里,666,428014,15159,5145,331964,18804,13805,191,333,39068,0,2662,0,883,251831,347881,52
,圳堵里,557,335830,13160,3452,258210,14647,8304,333,344,28014,0,7826,0,1540,191365,269888,137
,新庄里,1115,673141,30281,5616,523643,21633,21997,1119,750,55305,0,8111,0,4686,383961,531529,13
,山皮里,282,181410,9467,953,126184,6521,3520,81,64,32854,0,1198,0,568,92079,147667,15
,社口里,2348,1692843,65893,16061,1222272,60206,31048,2129,1620,275451,756,11683,216,5507,924173,1395155,982
,社南里,1737,1191287,58539,18953,825802,42562,46479,2090,939,181208,100,10026,0,4588,615300,980889,280
,三角里,835,704832,43084,6840,415632,22737,17102,585,464,191370,6,5796,0,1218,311884,601084,119
,大社里,1354,950756,29463,11371,775791,30514,14117,1884,638,76163,343,9293,45,1133,598547,773512,530
,岸裡里,997,680049,37910,7263,466831,35935,22973,755,522,100205,0,4468,0,3189,347368,560586,62
,豐洲里,2319,1569394,92956,23795,1069211,77378,50154,3347,1675,232940,243,11999,102,5595,801351,1301522,549
,神洲里,875,589453,42627,4850,361085,23209,36198,583,847,103289,0,15822,0,943,260600,477693,369
,溪洲里,777,460580,27690,3095,327350,18620,16254,599,258,63644,0,2414,0,654,232698,365927,46
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,16998,11542026,564390,136056,8203969,459942,356211,16101,10094,1652038,1544,105884,364,35434,6126978,9453599,4201
后里區,廣福里,433,256705,6779,3437,208327,8132,2693,1126,289,23111,22,2069,0,720,155426,203803,22
,仁里里,208,123184,2588,1694,98321,6211,1859,184,105,10847,0,1242,0,133,75117,99980,15
,義里里,908,671239,19709,9904,527790,31586,7824,780,543,65794,0,6281,0,1028,417657,561106,93
,后里里,1122,777277,23768,17016,574589,32350,23754,1665,636,86585,18,8881,0,8013,445232,647920,326
,厚里里,654,422217,10301,8597,320205,21402,10110,1660,305,44356,0,4262,0,1020,245312,347324,48
,墩東里,1447,1063204,31083,15053,840713,48989,22108,1871,760,81825,209,17458,184,2948,665287,887777,1140
,墩西里,561,416399,10784,11014,311543,19039,6377,1126,342,43476,0,11310,0,1387,243016,347871,109
,墩南里,998,697013,27601,7203,513383,26418,6702,516,454,103588,0,7562,0,3588,393110,576741,192
,墩北里,1082,789756,26127,16380,580116,38228,13605,3572,1895,91487,765,14187,0,3394,452183,661823,259
,中和里,764,543102,19176,3126,429646,19514,7290,2288,642,49970,0,9462,0,1989,332214,445676,17
,舊社里,533,347939,7952,5833,281020,10342,4203,92,300,28502,43,9166,24,462,212240,279159,234
,聯合里,408,270256,12409,2695,203440,7581,2734,145,214,37618,0,3340,0,80,154688,221504,20
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,太平里,593,376229,17867,1034,313598,16523,4092,339,213,18255,0,4107,0,200,237183,299814,30
,眉山里,921,660483,19607,7663,533254,23925,5176,689,414,58591,0,7432,27,3706,414259,541470,272
,月眉里,479,314280,9276,2009,254916,15809,2405,402,166,26391,0,2417,198,290,198679,258043,595
,公館里,506,311967,14690,2082,234995,11440,3638,2309,211,38698,0,3744,0,159,173891,250862,65
,泰安里,324,230928,5747,1166,174073,8921,2347,70,129,36074,727,1166,0,507,134432,191287,7
,義德里,795,540582,9781,9175,448110,24736,7835,1534,607,31677,668,4946,0,1514,350266,442738,300
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,12736,8812760,275246,125079,6848040,371146,134753,20368,8228,876846,2452,119031,434,31139,5300192,7264899,3744
大雅區,大雅里,1488,1153220,33308,39956,783177,65039,57322,4387,894,147531,1597,14129,0,5879,617191,987233,324
,員林里,2871,2318567,106701,29220,1668675,86786,65635,4130,2239,324599,769,18889,529,10393,1294876,1945158,1973
,六寶里,1667,1116903,29537,15287,873644,43563,27913,1402,1765,108336,587,9888,0,4979,662641,905914,372
,秀山里,984,703180,44700,4912,493176,31810,19798,539,619,92828,0,11202,0,3596,374336,584341,272
,橫山里,1243,1019891,57459,13556,677381,36705,61112,2592,698,144724,303,19992,0,5370,522824,865334,143
,三和里,1687,1385300,50693,12956,987387,60580,24473,1938,1060,231358,533,10783,0,3540,768201,1166114,432
,西寶里,1506,1220231,60611,6304,818322,46483,45497,8913,769,216443,1416,12290,0,3183,621370,1023279,245
,上楓里,1893,1371424,81889,11896,1005903,47962,23266,2473,1001,185465,34,7568,30,3936,761881,1128087,533
,忠義里,846,582600,9272,13550,470411,21234,3019,2713,422,51165,216,6722,0,3876,361080,473270,295
,四德里,1463,1198438,45659,11682,877058,47595,48245,2221,834,150442,434,13258,41,969,688708,1010088,789
,上雅里,1770,1386026,44489,30596,1038156,54547,27008,3902,1838,160925,2453,16142,1319,4651,812042,1159912,2634
,二和里,1873,1590521,44714,27470,1209853,66527,40891,3384,1281,164557,302,20014,0,11528,958787,1339455,741
,文雅里,1874,1493533,38902,31630,1121680,63881,22382,5934,903,187743,3430,11474,25,5549,880554,1252712,632
,大楓里,1453,967047,30593,9184,735015,28642,39222,1515,715,102301,305,6853,0,12702,549323,781357,215
,雅楓里,1045,660771,21199,5134,510018,24566,11297,647,464,81082,163,5068,0,1133,380666,531418,199
,其　他,2,640,66,25,368,0,0,0,0,0,0,182,0,0,260,532,0
,合　計,23665,18168293,699792,263359,13270224,725921,517082,46691,15502,2349500,12541,184453,1943,81284,10254739,15154205,9801
潭子區,潭秀里,470,466875,19971,18753,199937,23369,36335,778,373,163450,0,2606,0,1305,153729,420667,56
,潭北里,752,595120,18758,9733,437407,27118,11686,1150,422,83262,52,3313,0,2218,345209,502922,117
,潭陽里,3544,2557664,117930,55908,2002671,98716,30454,10635,2474,198607,657,28407,62,11142,1552660,2107617,1047
,福仁里,3208,2219490,53816,38134,1815142,76717,25047,6658,2217,169603,613,24344,0,7200,1407445,1811838,464
,頭家里,1577,1221450,27655,20272,952789,44780,21077,2434,977,136683,12,13102,0,1669,746749,1015411,155
,甘蔗里,3079,2432250,57175,49596,1839831,99613,41215,4099,2240,298524,2062,25977,62,11857,1438631,2031003,965
,東寶里,3838,2733944,95302,37932,2099742,119217,58041,5006,3195,277838,2787,29081,0,5803,1614736,2248971,738
,大富里,837,628083,32900,4310,461643,20175,14033,2116,418,86781,0,4601,198,908,352907,519221,539
,大豐里,1979,1675964,51817,20166,1223336,52936,33385,11352,1817,257322,299,20991,168,2375,957382,1410324,1201
,栗林里,1615,1220052,44017,15159,800535,54392,33850,2264,2033,255473,77,8557,0,3695,606254,1025789,384
,嘉仁里,1146,800603,30609,9611,616918,32540,14173,1849,716,86963,66,6820,0,336,471068,654953,340
,新田里,404,278656,8130,752,193313,8653,5025,530,322,59987,0,1737,0,206,143178,228521,4
,聚興里,1166,874461,27255,7768,670615,28909,9872,2321,802,114513,446,10036,0,1924,525209,729055,338
,頭家東里,1326,1061891,31021,14000,821102,40845,12381,5323,1280,108067,538,26033,0,1301,652492,893280,391
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,家興里,2190,1729809,31777,39251,1425142,61629,10169,6206,1790,133897,1248,13855,139,4706,1137599,1442267,1246
,家福里,1303,1027059,30200,16766,805840,45687,12315,2087,805,95178,851,11991,0,5339,636877,858121,279
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,28434,21523370,678334,358111,16365964,835296,369059,64807,21881,2526148,9709,231451,628,61983,12742126,17899958,8263
新社區,新社里,858,609782,14543,12688,500700,37983,4851,1018,695,32280,748,3337,0,937,397930,507012,165
,復盛里,383,273225,9510,4885,235266,11154,552,146,190,9988,0,1292,0,243,187295,225368,77
,中正里,340,231523,4261,831,195115,10076,2788,421,269,15847,24,1803,0,88,152516,188923,11
,月湖里,219,143196,2846,1302,120561,5480,404,263,512,11227,0,446,0,156,94289,116924,12
,崑山里,179,111319,3771,590,88236,4273,2595,60,54,9508,0,2195,0,35,67198,90281,29
,慶西里,137,85104,2927,567,69390,3663,1680,522,68,5850,14,402,0,20,53454,69169,62
,東興里,245,177658,1499,1875,140736,11455,3611,255,51,14863,0,1848,0,1464,111566,148488,11
,大南里,447,328676,4182,5709,255051,20527,4079,307,337,32806,0,1890,63,3726,200867,274492,430
,協成里,472,292344,15179,3171,224200,11918,5922,1403,481,22322,0,2144,2944,2659,172808,240937,4493
,永源里,512,354067,5014,3832,282993,17988,4903,1073,313,33800,79,2708,0,1365,226095,297169,68
,中和里,119,80203,6306,1992,54362,2270,1222,92,71,13102,0,416,0,369,41569,67409,0
,福興里,201,113478,2882,4074,95469,3565,1501,0,92,4599,0,989,175,133,73075,91084,436
,中興里,94,59384,2963,461,43028,3103,3472,8,120,5845,0,259,0,125,33158,49514,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4206,2859960,75884,41977,2305109,143455,37580,5569,3254,212036,865,19731,3182,11320,1811819,2366769,5795
石岡區,石岡里,314,211722,5454,3501,171202,8895,5291,31,88,14418,60,1937,0,844,133340,173860,227
,萬安里,420,294301,9908,7823,231126,12467,2586,1532,147,24405,0,3098,0,1209,180535,243716,66
,九房里,335,225369,2846,4881,166532,9396,4824,269,139,32678,88,3483,0,235,126020,184856,40
,金星里,308,203650,7109,1511,150904,8272,2849,401,176,29862,0,2315,0,250,116077,168822,18
,龍興里,149,92220,2948,1759,70668,3598,1533,45,85,10726,27,414,0,417,54059,75611,39
,和盛里,321,219275,6040,1389,178776,10361,852,129,127,18939,13,955,0,1693,139133,179632,139
,德興里,428,297015,4452,1290,259302,12398,1668,100,286,15102,200,1953,0,265,203497,241210,47
,土牛里,278,184194,3073,5844,144231,8992,1465,87,320,17991,103,1794,0,295,111871,151834,180
,梅子里,496,955658,613157,4638,276724,14192,6276,995,218,34379,73,2419,192,2393,216513,296256,498
,萬興里,431,383053,9943,6772,233888,12788,2784,253,429,113602,0,2009,2,583,180262,329427,287
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3480,3066456,664930,39408,1883354,101359,30127,3843,2014,312102,564,20377,194,8184,1461306,2045223,1540
外埔區,永豐里,269,173054,5206,976,137789,5175,3499,481,131,16779,72,2944,0,1,104878,140142,25
,六分里,616,406048,7294,4740,340786,12752,2033,477,192,31839,95,5035,5,799,260165,325426,270
,三崁里,461,312138,9728,1416,255199,8815,2306,383,210,30440,0,2877,0,764,194422,251361,151
,大同里,1323,1003408,32495,15313,778682,37778,7777,559,923,119329,56,9254,0,1242,604970,829695,384
,水美里,948,983585,53234,8524,563512,26245,8508,535,484,309642,1183,10704,0,1015,438574,858647,479
,大東里,1740,1193017,36155,16682,1000805,31960,5780,738,1280,87249,909,8858,0,2601,769311,961523,437
,馬鳴里,374,235296,9678,5009,178107,9356,2089,129,271,27735,161,1947,0,815,131674,188864,29
,中山里,331,240017,10135,885,187164,8371,1512,273,221,18722,46,12333,0,354,144380,197232,69
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
