"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,鐵山里,537,366579,18593,6536,272262,10438,1577,80,185,46413,0,10335,0,159,206859,301175,35
,土城里,385,288847,36893,3512,193080,5068,1584,198,113,42345,0,5660,0,395,142852,238619,112
,󿾴子里,273,169403,6236,1233,143335,4958,953,323,269,11279,95,678,0,42,108796,134864,43
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,7257,5371391,225647,64825,4050722,160917,37618,4175,4278,741772,2617,70625,5,8188,3106880,4427549,2034
大安區,東安里,363,233994,8841,1311,193112,11026,2410,99,89,13745,29,3058,0,274,147871,189079,0
,南埔里,224,143371,7920,499,114072,7052,819,3,75,12542,0,388,0,0,86169,115468,0
,南庄里,251,159722,11267,428,131084,4751,397,104,63,10956,0,610,0,62,99180,127818,5
,中庄里,754,503701,29909,5870,391701,17625,2642,360,324,49443,285,4993,0,550,297144,409144,158
,龜売里,430,286399,13535,1508,215726,12310,5340,113,336,34121,0,3224,0,187,161141,231814,46
,福興里,325,216620,9995,1688,167463,6569,1396,1016,186,26452,0,1521,0,333,125496,174653,179
,頂安里,219,134693,8317,393,106981,3047,530,88,89,13533,0,1634,0,80,79580,107291,10
,永安里,405,252941,7274,2125,208405,5921,2207,132,163,23568,879,1924,0,343,154708,199244,72
,福住里,264,163394,10755,1665,118504,6407,1662,534,210,22022,0,1587,0,48,85996,130886,32
,海墘里,350,243056,11101,1693,198233,8218,2053,930,302,19053,0,1066,0,407,154700,199523,16
,西安里,494,338443,12870,1170,268323,14361,4423,377,207,34934,113,1455,0,210,205562,275682,115
,松雅里,247,194594,10521,141,148883,10496,2046,245,177,20515,25,1163,0,382,117653,163364,175
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4326,2870928,142305,18491,2262488,107782,25925,4002,2221,280884,1331,22622,0,2877,1715199,2323965,808
烏日區,烏日里,2716,2237509,61127,44076,1679383,105300,56800,3328,2444,253596,114,23495,573,7273,1344298,1902481,2349
,湖日里,685,493871,17204,6208,392657,22477,5148,872,400,43664,683,3658,150,748,305925,407139,551
,三和里,1158,923791,23195,16221,721016,35890,14404,1661,923,99049,240,8665,0,2526,566224,768998,129
,榮泉里,1179,890100,19946,15175,670546,43197,21899,6168,557,103017,215,5764,1,3614,520934,740488,560
,學田里,670,926137,10963,3524,409595,18326,9351,1571,451,463899,317,8024,0,116,323575,840117,100
,九德里,3889,2957630,80072,56541,2344142,125431,50214,7497,3231,251993,991,32482,511,4525,1842456,2455944,3129
,前竹里,726,736745,30440,9573,358085,20487,18290,660,155,292446,583,3198,0,2828,270203,648863,29
,五光里,467,333314,19285,1146,228310,10629,9294,1338,308,57545,21,5348,0,91,170531,275535,144
,光明里,657,444687,29772,3523,295553,13929,9831,646,272,88134,0,2699,21,307,215941,365075,240
,東園里,521,388101,29853,3789,238407,14727,8572,1008,174,89102,0,1719,0,750,170117,319811,61
,溪埧里,1305,950849,53357,32022,627061,32593,39811,1152,702,154988,645,6980,0,1539,465301,789089,118
,螺潭里,643,503197,26137,5779,297365,19150,33204,544,221,113161,0,6986,359,291,220073,425905,714
,北里里,470,452402,16314,3520,212785,12955,18686,579,150,186015,0,1112,51,235,156222,395944,354
,南里里,333,239206,5710,2072,171011,7412,5718,981,316,43967,215,1318,0,486,129317,197513,0
,溪尾里,164,103593,3937,68,76097,2589,714,135,31,19611,0,408,0,3,55473,83116,0
,仁德里,2350,2153413,43922,35579,1478656,92008,32297,4580,1556,431527,1945,24782,627,5935,1176285,1851042,2941
,其　他,1,333,9,0,319,4,0,0,0,0,0,0,0,0,211,225,0
,合　計,17934,14734879,471242,238816,10200989,577105,334232,32720,11891,2691712,5970,136640,2293,31269,7933087,12467286,11420
大肚區,王田里,1344,941695,30854,8674,674399,30018,7949,1253,613,179618,0,7527,0,790,505596,772893,355
,中和里,256,198421,4422,497,137095,6168,2829,130,129,45491,0,792,0,868,104097,165423,29
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,福山里,1147,769722,14993,12669,616987,23946,7434,500,833,84384,33,5701,0,2242,471938,624673,222
,社腳里,782,533593,9689,2388,426800,14068,4302,1219,242,69076,16,4047,0,1746,324307,431100,92
,營埔里,444,309782,16735,2975,233824,9012,1472,116,180,41634,0,3773,0,62,174401,250359,42
,新興里,810,538211,14487,5503,391155,19051,5567,1420,1560,95691,0,3532,0,246,290204,437259,57
,大東里,970,716850,14382,5093,579674,28057,4523,1119,939,68985,48,13510,14,506,448850,586026,268
,大肚里,647,573969,11576,12205,395017,32679,8465,1092,255,105689,0,3643,0,3347,316032,494987,223
,永和里,256,185246,3196,1899,147844,7787,2133,182,279,20693,39,1157,0,35,116512,153914,7
,磺溪里,497,393863,8985,3380,298496,12974,2956,1684,306,59871,55,5009,0,147,230508,325874,7
,永順里,483,301334,10725,2098,238869,11771,4305,2621,195,27998,68,1465,0,1218,176771,239237,62
,成功里,274,189041,5045,2508,146832,9713,1810,178,247,20134,0,1986,0,589,111762,153972,4
,頂街里,2365,1991395,41575,20402,1512689,82211,16209,6051,1497,290582,227,16502,273,3176,1190239,1668777,1249
,山陽里,426,287460,10081,3008,212918,10741,3895,134,150,42907,605,2611,0,409,159439,233980,187
,瑞井里,1431,944924,20529,7337,788816,27646,7354,2833,869,80247,16,7454,0,1822,601769,757877,168
,蔗󿾴里,1369,951834,22306,9964,805860,27793,16148,3696,759,57108,52,6719,390,1041,626100,772075,1105
,自強里,995,645740,11286,10231,535900,34435,6341,1674,450,38750,1048,5208,0,416,411288,521127,159
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,14496,10473079,250866,110832,8143174,388068,103693,25902,9504,1328858,2207,90636,676,18661,6259812,8589552,4236
龍井區,竹坑里,958,707067,22413,3592,526324,23247,6447,613,1153,110033,209,7032,0,6004,396109,576852,136
,龍東里,881,600396,19344,6220,493527,21912,3581,2769,386,43795,137,7712,3,1010,379693,486563,235
,龍西里,556,378086,12454,4093,305815,16739,1351,630,609,33057,10,2838,0,490,233830,306100,77
,田中里,1027,705804,16736,8712,582414,23862,6306,962,1014,58953,27,5873,0,944,445041,568430,159
,福田里,307,209396,7216,1002,173089,8758,1492,195,117,11107,0,6288,0,132,133306,169612,69
,麗水里,658,433929,16422,10361,337090,20856,2239,1346,229,38492,2,5711,0,1181,250922,347761,27
,龍津里,1513,999728,39713,10950,802565,35360,11695,372,1102,86490,146,9842,0,1494,608136,805299,125
,三德里,902,608447,17255,2324,475955,19852,14973,5212,659,63578,0,5646,0,2993,356855,489347,32
,忠和里,1584,1170060,50488,14806,808310,45771,27709,1493,910,208207,119,10585,0,1663,609535,971285,212
,山腳里,1701,1187286,43367,9936,977884,33616,10750,1069,3298,94354,389,11852,0,771,753236,962639,464
,龍泉里,2216,1878667,27311,36657,1473402,74965,16588,9527,2517,203455,1286,28625,0,4335,1180095,1585361,464
,龍崗里,799,582098,28309,8789,452997,19596,6190,1976,776,56991,0,6117,0,356,350241,479342,130
,新庄里,1773,1375469,32475,28260,1057585,49031,28174,3333,1293,161241,447,9167,126,4336,832236,1149993,726
,南寮里,420,276257,6050,5975,217671,7238,3212,317,293,31868,0,3095,0,538,163776,222362,37
,新東里,1458,1295358,27155,19737,878338,57406,49962,7609,1056,229505,363,7234,973,16019,710496,1127456,2150
,東海里,2618,3012933,37046,49057,2117818,106083,26181,8104,2064,632214,7314,13025,839,13191,1773985,2672303,6250
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,19371,15420981,403754,220472,11680784,564293,216848,45527,17478,2063338,10448,140642,1941,55458,9177491,12920706,11293
霧峰區,桐林里,263,199461,8415,2637,146810,7556,2705,849,74,27483,0,2360,541,33,116286,168936,1164
,吉峰里,2680,1994458,56248,26479,1420486,87090,50557,4021,1252,325271,1329,13365,722,7636,1089026,1662974,2918
,甲寅里,1325,888585,35026,19934,697012,45803,13272,728,760,66525,14,6459,0,3052,540304,731877,477
,本鄉里,687,542637,11400,12753,401710,26008,19732,1249,547,64707,31,3111,13,1377,322230,463149,387
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,中正里,592,480031,11344,15789,364173,25369,12332,1556,965,42869,87,4066,0,1480,299063,414922,279
,錦榮里,325,247465,6649,3597,191894,17527,3860,401,190,18597,1781,1929,312,728,152049,208091,810
,本堂里,1799,1518492,37361,33265,1083669,122577,32318,7859,1043,179561,578,11965,466,7830,879577,1314519,2372
,坑口里,800,572512,12248,16043,422492,35124,10718,2084,713,63944,1701,4260,224,2960,321411,472391,600
,北柳里,1086,821335,30778,6788,598631,29742,13459,2122,1091,118777,60,6237,175,13473,459893,682597,902
,南柳里,485,322570,13845,3227,246558,12226,10224,1007,176,32441,0,1313,0,1553,185837,262139,89
,四德里,613,475530,15578,5964,308542,18270,8602,1782,691,99140,31,16456,0,473,232526,399514,314
,五福里,741,497212,26585,6581,341853,19998,12097,1974,402,70804,128,7607,0,9182,252357,408111,271
,萬豐里,687,477934,15401,3450,392853,19383,5070,734,281,28472,0,10729,233,1326,309656,394737,843
,舊正里,527,369004,6661,4089,293990,15466,3303,133,198,42024,0,2604,139,397,223697,298712,536
,峰谷里,261,161792,3796,2350,134916,5124,3635,178,43,8938,0,2080,0,733,99077,128579,64
,六股里,637,403409,13761,3081,322845,18029,3053,210,461,36920,0,3730,0,1319,243699,324262,72
,丁臺里,604,437561,24191,7305,305331,12087,4588,424,329,78987,0,2321,17,1982,229266,361496,382
,北勢里,511,350694,16242,3385,266029,11714,8257,798,233,38771,170,1770,0,3325,198449,283115,20
,南勢里,308,199870,10544,5473,141105,6534,2805,144,98,32159,20,500,0,488,100724,160596,3
,萊園里,261,189792,3101,2962,141179,9753,6324,333,173,20366,0,4764,0,838,110527,159582,70
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,15192,11150343,359174,185153,8222077,545379,226912,28587,9719,1396757,5932,107626,2843,60185,6365654,9300299,12574
太平區,太平里,1850,1448581,76076,21652,759338,62525,83857,1734,696,430844,13,8711,0,3134,552480,1241723,143
,中平里,1157,840454,28923,23553,611645,28324,11052,1829,426,123993,25,5957,1825,2904,468026,696835,2956
,東平里,1147,885456,43420,9068,592603,25127,11656,2912,558,171828,0,26138,0,2145,447436,740582,149
,坪林里,856,613957,15962,12207,490985,38957,5861,1095,387,38596,78,7881,73,1876,389672,512656,562
,新光里,1929,1416798,51958,20571,1074455,61941,36223,2547,971,150071,1090,9726,14,7231,845368,1187711,739
,頭汴里,408,246223,13689,2953,175172,7281,2311,270,233,33779,0,5466,225,4844,129018,200333,539
,東汴里,183,94429,3007,927,73284,3652,4155,234,20,7681,0,857,53,560,51957,73102,258
,興隆里,739,446089,18916,6597,332548,13223,9896,1624,328,49836,0,12112,0,1010,243843,358424,117
,光隆里,794,506453,24057,10022,361809,18906,18271,1792,397,65303,14,2442,0,3441,267699,412343,106
,黃竹里,103,63995,5523,109,43424,3929,1516,361,28,8234,0,431,0,441,31604,52175,0
,中興里,1167,863851,50580,21650,492855,41892,44055,2175,455,199909,962,3487,0,5830,360432,731788,142
,建國里,808,570803,28290,4868,414545,17870,6810,620,441,88899,1846,5082,0,1533,309967,467024,64
,光華里,1362,954375,28103,15787,734505,46120,7528,1022,728,96193,0,22206,0,2185,571219,791090,272
,中山里,792,540794,14996,8461,442309,26131,4552,691,360,32816,0,6980,23,3476,346405,444891,485
,宜欣里,1768,1153815,58888,18668,844682,48957,20441,5319,1068,146820,141,6801,0,2030,639071,948203,537
,新坪里,1964,1505906,34291,35034,1203515,47683,16112,8200,1771,135149,3094,13054,606,7396,953128,1255518,2562
,新福里,1573,1279227,34109,30341,962645,61336,30656,6446,687,136334,66,11067,200,5339,770805,1087246,1896
,長億里,1695,1185099,54130,19878,909144,37497,8802,4245,582,135830,1756,10044,39,3150,696012,971967,439
,德隆里,1286,909325,49879,4440,595472,26322,11770,594,501,213588,158,6206,0,395,433120,747360,214
,永成里,1807,1247157,45883,22358,943441,41951,17009,2586,1435,158696,147,10673,0,2978,717166,1020636,305
,中政里,962,663338,15888,12584,513414,32654,18831,1933,377,57194,1242,6318,0,2903,396533,546457,55
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,平安里,636,377072,21907,5902,283879,15061,5204,350,325,39873,0,4217,0,355,208722,301915,164
,永平里,1142,881151,23358,19979,626731,31276,17770,1550,763,151278,0,6866,0,1582,485475,740307,150
,建興里,726,478810,26081,2789,324474,12339,7568,559,355,101964,0,2324,0,357,235118,389454,16
,成功里,934,638048,21248,17702,441801,20511,18186,1858,355,107288,0,7618,0,1480,329239,525486,197
,東和里,700,457728,19332,3154,348658,17542,10654,665,357,51607,24,4960,5,770,264546,373616,431
,宜佳里,1577,1126856,47803,24035,878149,47792,10678,3920,876,97283,448,13486,448,1938,685254,933836,1229
,宜昌里,986,675910,24626,14762,514383,25660,13550,1162,602,69982,1185,5703,0,4295,397767,561258,231
,豐年里,1202,886695,15923,26480,697382,40983,9532,1873,417,83126,963,7108,242,2665,554129,743442,1412
,大興里,632,452474,10841,11092,354701,20232,7373,1183,654,37597,313,4383,0,4106,276568,374342,492
,勤益里,639,461186,9223,5210,369045,28439,5933,1915,498,34027,1417,4080,0,1401,293189,385554,342
,光明里,1002,877886,10111,15480,743134,30447,4092,11004,467,54068,248,7560,56,1220,615624,750683,730
,新吉里,1451,1087363,19782,19384,861800,42733,16735,3166,780,74609,25486,9989,0,12901,681805,907368,663
,新城里,1299,958988,19140,31926,784969,32833,8429,3462,1044,58733,505,12597,0,5349,622291,796321,378
,新興里,1335,1181142,18580,24509,956578,39832,18112,9924,935,88949,868,12593,0,10261,780168,1004733,563
,新高里,1440,1369205,29906,30192,971002,48443,15103,5969,1409,245002,128,15719,250,6084,793125,1191328,1049
,聖和里,355,269524,8480,1132,183433,8727,3777,6233,162,53802,114,3426,0,238,141603,228571,98
,福隆里,918,598004,30006,10711,464765,27345,10487,1093,665,42385,708,8763,2,1072,357218,490457,764
,永隆里,646,389589,14644,6615,294156,14446,7576,1371,492,45996,65,3101,311,817,215137,310526,718
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,41970,30603756,1067559,572780,22670831,1196919,562120,105485,23606,3919161,43104,316128,4372,121690,17557942,25497260,22168
大里區,大里里,954,671034,33210,6655,471458,29283,17326,1017,808,101766,19,5021,0,4471,357106,556683,283
,新里里,2759,2518991,69442,53791,1808668,114337,55431,3802,2223,376221,7213,17837,126,9900,1459396,2169715,2606
,樹王里,990,736051,32563,12048,502941,30130,29301,1163,652,120785,427,3051,0,2990,382848,615958,363
,祥興里,2090,1539328,37999,21124,1146678,68077,19555,2582,1265,221770,1212,13925,56,5086,898251,1290911,819
,內新里,2495,1949175,35786,38610,1500038,79300,30355,7033,1730,227755,2114,19237,40,7178,1194370,1643480,2816
,東昇里,973,761388,16481,10770,579670,39564,14146,1689,742,87488,893,6136,0,3808,460332,642050,199
,大元里,1388,1008423,44539,17316,637576,48040,41314,1616,1034,203029,74,9027,0,4857,478376,849223,123
,仁化里,2530,1838473,60826,20771,1323082,48629,27348,2493,1872,327978,205,19330,0,5937,998410,1514229,321
,健民里,1118,711409,33437,8717,526436,21794,11445,1660,1181,98841,0,5231,67,2600,391606,577518,732
,塗城里,2272,1416560,46346,15821,1140977,46003,11134,4954,1464,129049,1146,15005,500,4160,855879,1131762,1383
,東湖里,2846,2026826,64002,29583,1612478,75801,29259,4440,3122,179927,4553,18459,16,5185,1250024,1664369,1452
,西湖里,837,611683,37179,5474,404850,18721,39786,646,493,92442,0,8418,294,3379,305407,512240,877
,夏田里,274,194594,12609,2999,133440,8843,7523,1067,336,25608,0,1406,0,765,103390,164545,0
,東興里,2283,1790363,34001,37261,1344881,96786,47236,1485,1641,201115,4716,12827,0,8414,1071738,1517219,1163
,日新里,1096,812276,19309,20921,640793,31051,8886,1472,705,77433,1037,7753,0,2917,506881,678364,200
,西榮里,1698,1275787,24466,36120,959790,59280,26590,4158,1368,149036,202,10382,63,4333,759929,1075890,656
,金城里,2694,1833326,44800,37117,1465618,70939,28925,4035,1373,150858,44,20496,778,8342,1132780,1500935,2762
,立仁里,1422,923948,36330,15368,705607,32447,12235,4261,610,104079,0,11751,0,1261,529914,748684,629
,新仁里,2122,1443107,47798,24031,1078944,54087,18449,4336,1455,190383,21,21839,0,1765,816557,1180721,884
"表166-B(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 中 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,瑞城里,3469,2476678,72750,37978,1905266,87524,46987,6711,1869,278725,514,30594,241,7520,1469313,2040725,1263
,中新里,1539,1278128,33936,30200,978616,55837,18935,3666,1419,139667,2038,9804,121,3887,780349,1079861,813
,仁德里,1894,1315340,58663,16608,955211,54041,35999,2037,1157,170443,60,13940,0,7182,726106,1086699,568
,立德里,2266,1643041,63534,20469,1272832,47034,14896,4133,1512,193676,1906,18099,0,4950,981352,1351561,898
,國光里,1884,1935521,49028,43543,1213408,82293,52064,2375,1433,468272,426,13818,240,8620,977796,1699865,1658
,大明里,1264,926234,22399,14719,734323,41004,17774,1248,746,80542,982,6067,0,6429,580522,772433,676
,永隆里,3066,3361881,83069,83656,2348844,153349,74477,7886,3224,551740,485,24464,1070,29619,1944069,2956702,5869
,長榮里,2745,2379800,60784,69784,1746953,120339,42722,5789,5214,291276,1674,18614,281,16371,1407716,2040455,3136
,其　他,4,1833,52,39,821,839,68,0,0,0,0,13,0,0,520,1532,0
,合　計,50972,39381200,1175339,731493,29140199,1615373,780165,87753,40648,5239906,31961,362544,3893,171926,22820938,33064331,33148
和平區,中坑里,83,48991,4623,40,37049,2533,552,328,31,3595,0,239,0,1,28376,40317,13
,自由里,137,94407,2402,649,83902,3534,462,18,134,2658,0,612,0,36,66183,76688,11
,平等里,113,69306,1777,1822,60591,1650,1114,0,144,1851,0,355,0,0,47811,56830,0
,南勢里,371,262296,7537,7403,213180,10461,2940,176,306,17616,124,1737,0,815,167405,216234,121
,博愛里,327,261792,5209,3689,181038,9810,5708,1022,147,53648,378,834,0,309,141755,222509,162
,梨山里,226,141221,2455,1292,113939,5616,3111,562,399,11015,0,405,0,2427,87794,115080,13
,天輪里,93,63824,1180,822,52872,2301,1137,48,110,3701,0,1605,0,48,41373,52326,90
,達觀里,124,95065,784,1613,78591,3587,1710,41,88,3592,0,4031,0,1029,62816,79290,19
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1474,1036902,25967,17331,821162,39491,16735,2195,1360,97677,502,9818,0,4664,643513,859274,429
其　他,其　他,73,69370,2952,3511,47245,2072,5149,699,30,5927,0,1192,0,594,39507,61633,64
,合　計,73,69370,2952,3511,47245,2072,5149,699,30,5927,0,1192,0,594,39507,61633,64
