"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,興安村,122,87038,3210,306,71369,2887,895,263,75,6828,49,1110,0,46,55999,71669,0
,西鎮村,125,75775,1966,1082,62560,2461,198,0,202,6978,0,322,0,7,49085,62300,2
,其　他,1,1047,0,0,1022,25,0,0,0,0,0,0,0,0,914,939,0
,合　計,3720,2450542,69913,45374,1990748,93957,19506,2803,1816,198203,262,22166,94,5701,1547149,2006943,1105
莿桐鄉,莿桐村,1069,756352,35083,18335,564168,44239,8469,1222,816,73997,0,7601,27,2394,443003,635187,430
,甘厝村,190,119715,6434,1944,90201,3531,368,46,39,16430,0,720,0,2,69474,98988,19
,甘西村,347,213715,10248,1613,175898,8398,657,188,134,14927,0,1335,0,318,135639,173456,27
,興桐村,267,154877,4553,1750,124974,9379,1116,121,82,11567,0,1261,0,74,95264,125166,28
,義和村,205,303169,6346,1050,115354,5222,2207,67,91,171740,0,1016,0,76,91719,279534,32
,埔子村,465,304546,8088,2675,241539,12841,2239,173,226,33925,21,2563,0,258,186489,249496,18
,大美村,807,570699,12324,4779,480092,21411,5017,379,365,36872,536,5924,190,2810,377284,467891,577
,埔尾村,341,200397,4479,1340,166209,7706,840,106,121,17395,799,636,0,765,124999,159187,15
,饒平村,301,189285,7375,3059,154992,8904,1255,110,124,11071,0,2276,0,119,122223,156516,0
,興貴村,447,316212,13850,4412,256871,10789,884,783,364,23734,0,4228,0,298,204505,263846,27
,四合村,382,249925,8740,2621,210843,9946,1204,190,222,12248,0,2764,0,1148,163373,202455,39
,麻園村,299,190664,3185,6109,157591,7700,1296,176,99,12900,545,1027,0,36,122401,155475,31
,五華村,269,144419,4343,2107,123080,5070,361,0,158,7094,0,2191,0,15,92778,114117,0
,六合村,459,272524,11275,1903,225603,8632,1350,195,185,20387,0,2702,0,293,169797,216718,124
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,5848,3986500,136321,53698,3087415,163767,27263,3756,3026,464286,1901,36243,217,8606,2398946,3298031,1366
林內鄉,林南村,271,186215,3116,2707,155270,11077,417,92,144,11987,0,1265,0,141,119190,150136,12
,林中村,1021,673441,18744,9616,560451,35929,2486,404,403,39268,20,4798,0,1321,434011,547001,433
,林北村,565,338614,6862,3007,296657,13981,1649,461,317,11680,759,3203,0,36,227633,269590,173
,坪頂村,95,63832,2948,268,48501,1895,271,28,234,9354,0,227,0,106,36874,52206,10
,林茂村,172,107629,6476,971,89255,4649,276,20,163,5143,0,645,0,30,67878,86251,17
,湖本村,147,82448,3795,71,72424,1409,151,97,102,4037,0,361,0,2,55724,65748,0
"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,九芎村,642,398424,8010,4974,334124,11421,993,88,243,35883,0,2412,0,274,252279,316578,174
,烏塗村,314,184245,1610,453,162777,5170,1025,145,60,11341,0,1601,0,63,122823,144292,8
,烏麻村,261,152120,4340,818,131136,4315,2060,143,81,6735,0,1257,0,1235,99226,120209,32
,重興村,430,278480,11687,4089,228995,8680,900,380,326,20288,0,2521,2,612,177015,226500,230
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3918,2465447,67589,26974,2079591,98525,10228,1857,2074,155718,779,18291,2,3819,1592653,1978510,1088
二崙鄉,崙東村,321,253342,2272,3515,198688,14678,1606,1000,395,29286,15,1558,0,329,160936,215607,83
,崙西村,340,272909,9200,4471,212963,15715,1735,292,298,23512,247,4237,0,240,175167,235113,115
,來惠村,283,181081,7112,1745,144478,13244,2329,179,189,10396,0,1260,0,151,114320,150923,31
,三和村,283,193553,2280,2089,160150,8665,2246,225,165,15596,0,2128,0,10,128404,161808,15
,湳仔村,228,151376,4459,845,122349,7956,1915,105,163,12086,0,1013,0,485,96095,125122,35
,田尾村,327,248669,5656,2344,191104,11477,4717,6220,158,24038,0,2574,0,380,153220,210784,18
,港後村,284,214547,7754,1476,170296,8267,1390,231,377,21940,0,2320,0,495,136155,180406,17
,庄西村,149,86780,1175,169,74937,3497,218,0,259,5822,0,664,0,40,58772,70615,42
,大義村,160,114421,2628,3260,94630,5136,716,60,452,6685,0,815,0,38,76303,96093,5
,大庄村,210,141081,2981,2285,114617,6668,1144,204,131,11527,104,1322,0,98,91371,117835,80
,復興村,149,101616,3996,15,83264,4070,1098,63,408,7568,0,1105,0,30,66036,84388,47
,油車村,383,273958,7258,3941,215900,17359,3477,290,152,20856,6,4230,0,488,172783,230841,24
,大同村,131,97219,3861,281,71022,4305,3186,105,180,11093,0,1109,0,2077,56310,82508,46
,大華村,132,104032,5797,767,81926,2955,582,37,53,10322,0,1528,0,64,67424,89530,12
,義庄村,88,60601,2607,133,49957,2091,1541,26,13,3758,0,387,0,89,40024,50668,4
,楊賢村,211,134826,3877,2119,107307,4783,767,402,66,13741,0,1227,0,536,84435,111954,11
,定安村,144,101340,2948,1492,77027,3688,1069,103,83,13695,4,731,422,77,61953,86265,827
,永定村,224,161361,4020,2683,134848,5648,455,183,216,11155,0,1976,0,176,108959,135472,13
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4047,2892712,79882,33630,2305463,140202,30191,9726,3758,253074,375,30185,422,5803,1848668,2435934,1423
崙背鄉,東明村,266,192161,6737,6708,146107,8966,3627,607,65,16973,0,1896,0,475,117636,163690,97
,西榮村,292,197086,2990,4271,154656,9435,2474,29,269,19630,6,3090,52,185,124414,166845,303
,南陽村,635,471841,12493,17539,340820,34122,4142,381,396,51746,242,5614,7,4339,273416,404437,496
,崙前村,409,308958,8457,5918,245667,15021,2968,199,191,27914,17,2441,0,165,197947,261238,47
,羅厝村,402,285479,11737,5485,230399,9272,3083,149,304,20469,0,4124,0,457,185905,240985,194
,港尾村,230,160668,5295,5201,121430,5393,1703,136,87,18439,0,2922,0,63,95687,134925,75
,阿勸村,334,216023,8326,783,177739,9281,1164,85,213,12632,72,5647,0,82,141113,179398,10
,五魁村,172,120474,2129,2951,98117,4282,640,0,94,9631,0,2630,0,0,78942,101299,110
,大有村,273,191274,2054,1221,164578,6170,1091,50,353,12866,0,2741,0,150,130761,157458,15
,豐榮村,345,252908,12321,1451,209616,11400,800,255,123,12449,0,4488,0,5,168061,211354,186
,舊庄村,170,107534,4449,222,92180,3638,121,8,36,5704,0,1177,0,0,71796,87150,180
,草湖村,244,143321,5073,568,114992,4197,924,20,88,13880,26,3146,0,407,87838,116167,23
,水尾村,203,131761,4710,7335,103472,4877,1723,50,63,7952,237,1035,0,307,81132,109421,216
"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,枋南村,147,111089,3197,2083,75923,4699,561,86,179,22673,0,1677,0,13,59386,94552,5
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4122,2890579,89966,61737,2275695,130753,25021,2055,2460,252957,600,42628,59,6649,1814035,2428919,1957
麥寮鄉,麥豐村,1692,1345428,54196,17453,1042070,53996,20410,1504,1226,126092,34,24059,0,4387,843703,1147061,183
,麥津村,877,678287,31013,11245,518795,24180,12938,1064,519,67152,32,10579,0,770,417543,577035,235
,瓦󼍕村,377,285451,7480,2992,233559,9836,2293,199,297,24947,0,3649,0,199,187222,239114,15
,崙後村,478,358131,23684,3928,266716,14978,3402,1344,362,35985,0,5939,19,1773,211857,303269,488
,興華村,470,340026,20386,4320,254152,9140,2649,358,423,40340,0,7705,42,511,197909,283783,277
,後安村,600,412433,26566,8170,305509,11556,4929,436,166,49256,0,5752,42,51,238118,345015,439
,海豐村,414,311864,19767,6722,235771,8314,3078,161,693,28014,0,9212,0,132,188029,264122,78
,三盛村,423,339552,37533,2185,230979,11624,5756,467,180,44973,4,4628,0,1224,183561,292134,3
,新吉村,207,137513,5813,1323,116489,3869,1332,128,82,5588,11,2804,17,56,91440,112447,234
,橋頭村,858,663098,24145,8273,509122,28755,7429,553,572,73223,6,9591,478,951,408456,562307,1333
,施厝村,675,567529,56689,5249,421021,13635,3690,383,504,54600,1067,10636,0,53,339212,488147,196
,雷厝村,362,252157,13999,2437,205740,4888,1233,250,161,20533,286,2605,0,25,162850,209267,13
,中興村,267,190843,20675,1842,134585,6114,2805,118,111,22260,0,2333,0,0,105780,162037,3
,其　他,2,10101,0,0,2960,27,0,0,0,795,0,4,0,6315,2602,9743,0
,合　計,7702,5892409,341947,76140,4477467,200911,71943,6965,5295,593759,1439,99496,598,16448,3578282,4995479,3496
東勢鄉,東北村,283,202101,7232,5503,163135,10683,1035,130,162,10000,19,4049,0,154,130622,169588,34
,東南村,348,269520,5013,6414,199801,19565,4974,189,201,29162,300,3440,0,461,161053,230772,291
,嘉隆村,285,238527,6407,1510,177981,9147,822,154,348,39370,20,2765,0,3,141447,202732,7
,月眉村,234,172005,6743,4260,129157,4052,2286,196,479,13373,138,1572,0,9749,102166,145014,130
,復興村,105,71615,1157,516,57982,3544,1170,0,64,6533,0,592,0,56,46300,59933,7
,昌南村,176,119666,13006,1806,86039,4435,1792,138,101,11016,0,1317,0,18,66663,100291,1
,安南村,170,112864,2261,327,93387,3816,594,24,39,9211,0,3205,0,0,73035,92512,1
,新坤村,192,123140,8188,1196,101749,1726,359,462,105,7339,0,2015,0,0,79043,100434,0
,四美村,175,112627,3675,195,95489,3318,162,1345,52,6014,0,1548,0,830,75141,92279,1
,龍潭村,110,70289,3718,359,57437,2818,849,197,102,4018,0,749,0,43,44950,57803,29
,程海村,83,54039,1840,1295,44583,2080,537,0,5,3119,0,572,0,9,34733,44189,8
,同安村,355,219309,5541,4021,186675,7327,1659,177,279,10060,0,3422,0,148,146673,179307,73
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2516,1765702,64780,27402,1393414,72511,16238,3013,1937,149214,477,25245,0,11470,1101825,1474853,581
褒忠鄉,中民村,482,368254,8680,9049,261220,18814,4584,3012,378,45600,8,4611,251,12050,206214,312998,983
,埔姜村,334,236244,9586,3203,192908,11150,980,137,140,15481,0,2539,118,3,152882,196101,482
,中勝村,327,258608,5986,8772,200552,12859,3139,433,195,18142,20,7780,0,731,162309,220365,279
,馬鳴村,299,234853,6488,1882,177129,7614,1654,331,185,35774,0,3775,0,20,141985,199709,22
,新湖村,204,142182,7165,3902,112218,4645,2580,14,77,9067,0,1377,0,1137,88132,118095,31
,有才村,173,113770,8173,2229,93758,2961,213,104,365,4604,0,836,321,206,74201,94213,818
,田洋村,148,88227,3546,560,70168,3402,478,88,73,7759,0,1597,0,557,54170,72230,62
"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,龍岩村,217,128390,4251,1382,101956,5863,1965,184,26,9226,2181,1357,0,0,77097,103531,18
,潮厝村,156,109139,14621,2635,79321,3018,1217,51,33,6472,501,1221,0,49,61569,91387,3
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2340,1679668,68496,33613,1289228,70325,16811,4353,1471,152126,2710,25093,689,14753,1018558,1408629,2697
臺西鄉,臺西村,278,213228,3809,4916,166429,15473,2556,452,68,16801,82,2622,0,20,135852,182651,13
,海北村,220,156104,7681,3452,126100,9786,443,100,223,5604,19,2520,0,176,100588,131222,173
,海口村,358,251618,9177,5230,201867,9542,877,2088,1119,18339,0,3160,0,221,160241,209993,59
,海南村,233,157086,6294,1095,127192,7612,1759,245,514,9305,29,2762,0,281,102100,131995,191
,光華村,159,102917,1557,685,84287,3305,2853,187,111,8389,0,1358,0,184,66139,84769,87
,山寮村,141,88979,3888,757,70350,2439,91,3,78,7978,0,2103,0,1293,54864,73492,29
,五榔村,77,51853,654,101,44013,2255,351,0,38,3928,0,486,0,26,34601,42441,19
,泉州村,111,86241,2019,1639,68232,3406,149,0,33,10176,0,587,0,0,53395,71404,0
,牛厝村,268,171369,9160,1108,140970,4282,785,23,128,11033,0,3567,35,278,108036,138875,301
,溪頂村,220,139173,3001,460,111205,4436,737,576,118,16175,0,2450,0,15,87017,114984,8
,永豐村,278,184284,6486,2394,154469,9080,2564,180,282,4295,0,3894,0,642,121935,151750,137
,富琦村,320,224288,9316,1010,172394,11021,972,224,357,25260,0,3518,0,215,136095,187989,132
,和豐村,509,348013,14114,2572,289945,10475,1365,0,507,22927,0,6106,0,3,232514,290582,268
,蚊港村,359,236091,4579,2845,197441,13826,1891,111,197,9847,43,4879,0,434,156067,194718,6
,五港村,319,214800,10011,5946,167330,6933,1738,141,82,19905,0,2503,0,212,132988,180459,9
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3850,2626044,91746,34209,2122224,113871,19130,4328,3853,189960,173,42516,35,3999,1682431,2187322,1432
元長鄉,長南村,773,578684,17192,9864,445160,30251,3038,400,539,60077,223,10553,0,1388,354819,488343,132
,長北村,339,217606,4998,4444,178720,10044,646,109,125,16831,95,1442,0,151,139070,177956,82
,子茂村,248,176972,9051,1122,142172,8101,167,288,286,13035,0,1687,0,1063,114001,148802,7
,後湖村,119,83219,1915,62,70160,2610,100,120,25,7332,43,708,0,143,55864,68923,38
,山內村,175,111900,3855,1079,85113,9747,1310,0,26,8813,14,1332,0,610,67184,93972,111
,合和村,188,116188,4021,3031,91612,6352,1213,0,51,9241,0,567,48,53,70580,95125,265
,五塊村,185,118825,2111,564,91853,3053,980,106,104,19540,0,513,0,1,71442,98414,21
,潭西村,145,84144,2057,423,71730,3744,269,0,29,3924,0,1900,0,68,54440,66854,3
,潭東村,93,51571,718,469,43693,2766,470,0,45,2840,0,568,0,1,32985,40863,0
,客厝村,169,112862,4057,1941,90291,5507,651,19,116,9632,0,647,0,1,70896,93467,32
,卓運村,55,39719,1755,0,25926,3441,1080,0,7,7278,0,232,0,0,21081,34874,0
,頂寮村,243,160704,6097,2344,127807,5128,623,213,130,16048,0,2277,0,37,99509,132406,4
,下寮村,262,190334,3568,1432,142020,5898,1862,109,69,32463,92,2460,0,361,111491,159805,94
,龍岩村,174,115445,5510,3063,84254,5365,1951,9,31,13949,0,1298,0,13,64812,96002,0
,西莊村,148,102389,9975,181,77907,6204,746,47,49,6154,0,1127,0,0,59934,84416,16
,鹿北村,215,131511,5261,1736,108262,3880,1267,502,155,9358,4,987,0,100,85427,108677,94
,鹿南村,145,86230,1891,294,69092,3768,219,0,38,9917,0,884,0,126,52308,69446,0
,瓦󼍕村,266,168656,4843,1337,128136,8308,3696,154,263,18980,0,1129,126,1685,97919,138313,360
"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,內寮村,104,71074,1786,977,52533,2801,1200,0,90,11120,0,451,0,116,40861,59401,0
,崙仔村,114,72326,4427,2147,53561,3446,221,71,11,8004,0,437,0,0,42058,60823,1
,新吉村,125,85486,9551,1368,65873,2170,1067,0,18,4849,0,401,0,188,50742,70355,2
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4285,2875846,104641,37879,2245875,132586,22775,2148,2208,289384,471,31598,174,6106,1757422,2387236,1262
四湖鄉,四湖村,379,272798,9410,3843,212379,18149,2705,525,426,22907,24,2014,0,416,169677,230096,242
,湖西村,527,369298,9545,2666,297482,25164,2667,523,714,26190,40,4213,48,45,238461,310597,497
,新庄村,104,70356,550,706,58175,2705,1170,369,21,5354,0,1281,0,25,46452,58634,3
,蔡厝村,150,105775,2138,2060,88094,6165,965,369,46,5144,0,660,0,136,68748,86902,86
,湖寮村,165,120622,3588,203,102925,4325,1507,0,47,6638,0,1203,0,186,81959,99656,0
,鹿場村,169,104018,3118,885,84843,5460,633,51,104,8255,0,547,0,124,66219,85395,0
,施湖村,217,130247,3263,642,112841,5470,681,196,751,5459,0,940,0,3,88662,106068,31
,羊調村,174,114168,12477,502,89048,5028,843,502,102,4829,0,676,102,60,70086,95206,337
,溪底村,196,128702,690,1031,111916,7092,218,304,51,5963,0,1432,0,6,88475,105262,33
,溪尾村,119,79307,3698,2431,62332,4591,446,586,305,4597,0,301,0,20,49249,66224,1
,崙南村,143,86400,3712,176,69688,3346,1428,0,89,6154,0,1807,0,1,54551,71263,35
,崙北村,298,201156,7267,1685,165259,5888,1592,158,206,15736,0,2130,0,1234,131188,167085,42
,內湖村,136,83459,1336,735,71894,3648,1278,433,85,3003,0,878,0,170,56987,68552,0
,󿿀子村,140,97520,2801,885,72870,2468,319,3448,46,10635,0,3102,0,948,58129,82779,9
,廣溝村,137,84748,2156,237,69524,2913,278,221,24,8401,0,994,0,0,54730,69954,40
,飛沙村,194,142262,3842,2264,115746,5235,1006,275,110,12675,0,801,295,13,92400,118916,655
,三姓村,71,43674,1456,1054,34460,2531,137,34,4,3851,0,147,0,0,26054,35268,4
,林東村,197,133256,3617,1371,111102,3531,1024,145,42,10727,0,1201,343,152,87970,109858,673
,林厝村,193,126439,3572,861,106236,5504,200,117,106,8320,0,1412,0,110,82845,103048,16
,飛東村,119,73722,1867,1898,60472,3923,130,0,307,4310,36,774,0,4,47270,60521,0
,󿿀東村,169,106929,3405,100,92717,4210,496,181,35,4742,0,1042,0,0,72064,86276,1
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3997,2674858,83506,26235,2190003,127348,19724,8439,3621,183890,100,27553,788,3652,1732179,2217560,2706
口湖鄉,下崙村,393,242875,12529,1797,186766,5414,1089,1463,86,26620,0,7062,0,49,142660,199629,11
,崙中村,312,203624,2667,5043,163815,8988,982,183,84,17898,0,3341,0,623,129940,169748,159
,崙東村,306,193454,7801,3730,146045,9670,1389,157,191,20594,0,3834,0,43,113398,160808,17
,青蚶村,92,50124,2374,2124,41244,1818,86,0,7,2216,0,255,0,1,31425,40305,13
,梧北村,190,112993,6588,1830,94349,6122,703,44,95,1936,39,1287,0,0,73139,91784,5
,梧南村,315,186288,5603,5132,144749,14311,1250,250,227,12573,18,1986,0,189,112720,154259,91
,水井村,152,79782,4049,4095,60426,2939,135,0,111,7563,0,464,0,0,45091,64447,2
,湖口村,164,99898,6703,1017,78165,2584,168,2,43,9881,0,728,0,608,61205,82938,0
,後厝村,119,70662,4023,2400,54959,2668,656,85,37,5150,18,528,0,140,41360,57063,111
,過港村,96,54273,5805,111,42512,2693,221,198,31,2326,0,376,0,0,31970,43730,0
,埔北村,156,93333,3180,2539,70469,4817,1146,398,35,7837,0,833,0,2079,53065,75930,33
"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,埔南村,134,84115,2290,94,68392,5643,244,0,216,6876,0,339,22,0,53949,69672,218
,謝厝村,200,109289,3364,907,92064,4807,1135,0,151,5793,0,899,0,169,70076,87300,5
,頂湖村,129,92381,744,53,73661,6270,522,175,427,8746,0,1782,0,0,58268,76989,0
,口湖村,258,166677,5485,2539,138880,6953,741,45,40,9955,21,1817,0,202,109353,137150,22
,湖東村,259,165274,5657,4393,130611,8573,1761,137,129,12106,0,1718,0,191,103764,138428,18
,蚵寮村,233,138430,2072,334,111031,8794,398,87,61,14649,27,947,0,30,86530,113929,0
,港西村,141,95109,893,4397,75802,6441,1452,34,50,5237,0,362,0,441,59961,79267,51
,港東村,265,163989,4396,7034,131924,3148,573,376,194,12705,0,2939,0,699,102309,134374,31
,臺子村,289,157533,1390,2553,139814,3908,1106,33,244,6697,0,1764,0,24,107570,125289,26
,成龍村,157,103997,1031,1125,90240,3325,1110,77,51,6132,0,907,0,0,72048,85818,58
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4360,2664100,88640,53247,2135919,119888,16867,3745,2510,203488,123,34166,22,5486,1659801,2188857,872
水林鄉,水北村,476,347669,8550,11141,251950,31919,3068,85,221,35075,159,5477,0,24,201756,297475,135
,水南村,412,291171,10167,9223,209402,21245,5724,403,725,32132,0,2101,0,47,164848,246617,206
,海埔村,132,75029,2179,603,64841,2626,271,0,48,3660,0,562,0,239,51358,61546,4
,後寮村,124,76249,7345,503,58624,4671,158,0,50,4659,0,239,0,0,45077,62702,4
,春埔村,169,110910,1194,400,88452,6102,1381,0,25,12294,0,818,0,242,69637,92094,45
,西井村,111,71083,988,2804,52971,3482,826,0,93,7954,0,1263,0,701,40750,58863,0
,灣西村,145,102233,2981,1057,88090,4216,732,106,272,3861,0,768,0,149,71047,85190,5
,灣東村,120,73209,431,922,61532,6873,441,0,41,2672,0,214,0,81,49092,60769,0
,蘇秦村,185,134128,1937,578,109271,7723,700,53,49,11414,0,2322,0,80,87987,112844,11
,車港村,77,56744,4412,22,39793,2630,950,0,53,6433,0,305,0,2146,30667,47618,1
,萬興村,123,73315,1495,3627,56801,2109,669,127,36,8005,0,447,0,0,44089,60603,32
,尖山村,114,72602,3022,975,53820,4688,461,147,39,8616,0,791,42,0,41108,59890,263
,大山村,173,105145,3972,1079,86468,5326,2339,11,24,4740,12,645,0,528,67716,86392,10
,大溝村,143,94320,5415,80,81311,3810,498,26,61,2532,0,567,0,19,64794,77803,2
,順興村,137,91274,956,967,77476,3540,77,89,117,7403,0,351,0,298,60893,74690,79
,山腳村,147,89045,860,2076,75405,3023,1355,185,95,4702,0,1176,0,167,58330,71970,11
,蕃薯村,155,88396,1734,1333,76622,3250,213,0,74,3717,0,655,0,798,59327,71101,14
,松北村,175,137863,8137,4017,94235,7383,2514,375,57,19672,0,1166,0,308,75969,119596,47
,松中村,85,56568,2776,621,43755,3498,283,0,50,5333,7,89,0,156,34612,47425,80
,松西村,101,61874,666,130,53096,1938,82,45,70,5184,0,537,125,0,41957,50610,359
,𣐤埔村,105,66030,1775,152,54334,2980,433,45,6,6014,0,292,0,0,42070,53767,1
,󻕯底村,99,61644,1847,2062,47276,1210,469,209,29,6025,11,2506,0,0,35666,50034,2
,土厝村,237,147864,2427,1244,122278,7976,738,103,194,10849,9,1389,0,657,97160,122746,87
,溪墘村,126,68969,1545,742,56091,2093,990,54,46,5494,0,1473,0,442,42375,55254,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3871,2553332,76814,46357,2003894,144309,25374,2064,2476,218442,198,26154,166,7083,1578284,2127597,1398
其　他,其　他,33,26693,344,159,21304,861,328,0,8,3460,26,132,0,71,17151,22540,59
"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,合　計,33,26693,344,159,21304,861,328,0,8,3460,26,132,0,71,17151,22540,59
